No,이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관
1,범준종,남,166.3,65.3,O형,1954-07-30,010-5582-0010,hqpk2kt86r,naver.com,무교
2,김정서,남,173.7,70,B형,1971-02-02,010-2460-3420,gcodhmpj,daum.net,천주교
3,이성용,남,170.7,64,O형,1976-03-09,010-5655-3460,vcd7p5s,daum.net,불교
4,권현상,여,154.2,58.9,O형,1993-10-19,010-2899-1007,ep1pmx2zxzhg,gmail.com,기독교
5,김준훈,남,165.1,68.8,A형,1946-10-28,010-7424-0794,qu4fek0,daum.net,무교
6,박용희,여,155.5,57.2,AB형,1948-08-29,010-9065-3826,sasm2gi4yq7j,naver.com,기독교
7,강진택,여,156.1,41.7,B형,1968-07-15,010-3146-5932,q00z6kqhvgn,naver.com,불교
8,정정종,여,160.5,52.7,A형,1975-11-12,010-3680-2442,pb93firs,daum.net,무교
9,정지성,여,153.5,54.1,A형,1994-06-25,010-7114-9389,xbzxhwp6u8,gmail.com,무교
10,윤서협,남,171.3,69.3,O형,1992-03-02,010-1354-2328,o8xsyrh,yahoo.com,무교
11,채진협,여,161.5,60,B형,1954-11-07,010-6178-7790,vd0tm3ir,yahoo.com,무교
12,이우준,남,174.3,61.6,A형,1990-08-24,010-7576-3902,ki4ytotgvom,naver.com,천주교
13,이지용,여,154.5,57.3,A형,1952-05-22,010-5824-1522,h25ih47q45w,yahoo.com,기독교
14,정진우,여,161.8,49.3,A형,1956-09-03,010-9740-8038,zp3m29je,daum.net,무교
15,정훈현,여,165.9,52.9,O형,1954-10-27,010-0172-0213,kxlbc0esphy,gmail.com,무교
16,김진은,남,166.6,64.7,B형,1952-07-25,010-1446-3441,wf196bf,gmail.com,무교
17,신성현,남,169.1,64,A형,1970-06-11,010-8909-7836,ru07foj,daum.net,불교
18,서훈서,여,160.4,50.2,B형,1969-09-25,010-6159-1272,p919q23fo5cd,naver.com,기독교
19,정석준,여,154.1,49.5,B형,1968-03-05,010-8979-8418,yotriy,yahoo.com,무교
20,박희상,남,166.9,66.8,O형,1952-06-08,010-8334-0300,t1vdg614cco2,yahoo.com,무교
21,노서덕,남,170.2,67.9,B형,1956-04-01,010-9169-4941,mgkajr,daum.net,기독교
22,김상훈,여,153.9,58.4,AB형,1968-04-14,010-6228-5226,xpf7yl,gmail.com,무교
23,정지상,남,168.2,64.7,A형,1970-04-20,010-0774-5407,unb3bmyj,naver.com,무교
24,신희준,여,157.5,48,AB형,1963-07-21,010-2267-6069,fz41g60d2npo,yahoo.com,기독교
25,송현훈,여,153.5,56.8,A형,1954-10-19,010-7112-4025,kkk2cqmyws1,daum.net,기독교
26,조훈석,남,180.6,70.5,AB형,1950-05-28,010-4152-4362,jkc6ctavivifd,gmail.com,불교
27,박은정,남,178.6,67.6,B형,1957-10-03,010-9843-4383,yogkx7fwi,naver.com,불교
28,정택영,남,164.1,62.3,B형,1985-07-29,010-5563-1644,airo4yvm,gmail.com,불교
29,박용지,남,169.5,64.8,B형,1981-06-03,010-7319-0530,kmla0mqyc,yahoo.com,천주교
30,이지정,남,174.5,68.6,B형,1949-10-12,010-6521-2529,jzdi48v925q,yahoo.com,천주교
31,김지우,남,175,68.3,A형,1980-02-13,010-7028-0557,zaxkk3y7so3y2,gmail.com,기독교
32,김희성,여,146,54.4,B형,1988-08-22,010-7942-6810,ead16ijyb9rkr,daum.net,기독교
33,최은정,남,180,64.1,O형,1984-05-04,010-8224-9144,b1quut,gmail.com,기독교
34,서상영,남,173.9,67.2,A형,1957-03-29,010-9306-5991,rjg65qocmzvs,naver.com,불교
35,김희택,여,160.1,59.2,A형,1988-04-18,010-4644-2802,qksoto7,daum.net,불교
36,장훈준,여,153.4,54.5,B형,1946-12-01,010-7035-7440,vn065aazqe4o8,daum.net,불교
37,우훈진,남,165.2,60.9,O형,1957-06-11,010-5642-0038,ea5de1cr7,gmail.com,불교
38,김용우,남,171.4,69.1,B형,1984-02-22,010-7353-3365,kzcth137v,daum.net,무교
39,박진준,남,167.1,64.7,O형,1962-06-26,010-6155-7676,hww5wtpjv,naver.com,무교
40,김지성,여,153.4,67.8,A형,1981-05-17,010-9387-6862,sej02ywqoa1y4,daum.net,기독교
41,윤정훈,여,153.2,62.5,A형,1970-07-26,010-3433-7974,vypfbnbsln89i,yahoo.com,기독교
42,성정용,여,154.9,55.5,A형,1995-01-25,010-5018-8011,yb3ytckl6mql8,gmail.com,무교
43,김서희,여,169.8,54.6,O형,1956-06-13,010-4400-8631,xaffxose0uyl,daum.net,무교
44,이훈지,남,178.6,59.3,A형,1969-02-12,010-4458-2575,tzv48kzc,gmail.com,기독교
45,한진성,여,152.9,50.4,B형,1948-04-12,010-6062-3448,vnycgze8d459,yahoo.com,무교
46,장영상,남,163.7,68.4,AB형,1958-10-16,010-2861-7092,ym0vwxe6,yahoo.com,무교
47,곽서종,남,175.4,63.8,B형,1993-08-24,010-7061-4376,yqzbs6k,yahoo.com,무교
48,안훈용,여,164.5,50.1,O형,1972-03-04,010-0944-8879,wtalxok0xnb,gmail.com,기독교
49,김정지,남,168.9,69.9,AB형,1964-05-21,010-7971-2000,u0pksq,gmail.com,무교
50,임준지,남,172,65.1,O형,1947-05-26,010-3083-2914,euoajo4kb7mre,gmail.com,무교
51,이준용,여,151.1,62.7,A형,1951-03-01,010-1539-3379,suf2np9a,naver.com,무교
52,남서지,여,150.6,57.3,B형,1955-01-14,010-6550-5883,f09xd0jz,naver.com,불교
53,최남훈,여,154.1,48.6,A형,1967-06-12,010-6552-5124,rjlvic6xz5nh,daum.net,무교
54,노성희,남,179.8,63.2,B형,1968-08-28,010-1994-3507,ooxrfhx36,daum.net,천주교
55,김진준,남,173.7,60.2,O형,1989-12-21,010-4091-9024,tdscgiyc3,gmail.com,무교
56,지택협,여,151.7,63.2,A형,1946-09-21,010-9291-1781,biw71sk,yahoo.com,무교
57,박택종,남,165.4,64.3,A형,1953-07-20,010-5667-0329,q3nt1v,gmail.com,불교
58,김은남,여,149.5,59.7,A형,1992-07-14,010-5738-7715,ruexo6h7m3cx4,gmail.com,기독교
59,이용종,남,171.1,71.4,A형,1984-10-16,010-6672-0625,g1ejjbtg8vo,yahoo.com,무교
60,박준지,남,168,74.5,B형,1964-07-19,010-8951-1196,heuabel3l,yahoo.com,무교
61,김남훈,남,175.8,56.7,B형,1957-01-17,010-4638-7293,vh1oe9yi6dxo,naver.com,불교
62,서영덕,남,177.4,69.7,A형,1952-09-23,010-9536-3144,h8pme41vva,yahoo.com,불교
63,이협영,여,159.4,60.3,B형,1957-04-28,010-0056-2606,qzskbl,daum.net,기독교
64,최훈상,남,171,67.9,O형,1986-08-10,010-7108-6420,oh5cyhsu74,naver.com,무교
65,김덕협,남,166.1,63.1,O형,1976-11-20,010-9756-9871,pr8a4e11nl15q,yahoo.com,기독교
66,이성은,남,162.7,68.7,A형,1981-03-19,010-6189-5440,pamig515zl0e,naver.com,불교
67,이준훈,여,154.6,53.4,A형,1965-01-23,010-2083-0704,xa8vzgeruveo,gmail.com,천주교
68,이종석,여,160.2,49.7,O형,1988-01-18,010-6635-9963,podwc0hu9irc,gmail.com,기독교
69,이종훈,남,163.1,62.4,B형,1955-11-16,010-7981-4239,h89k7ch,daum.net,무교
70,최성우,여,163.1,51.8,B형,1948-09-28,010-2104-7330,zo3ney5r6b22,naver.com,불교
71,소남지,남,173.6,68.1,A형,1988-11-30,010-9988-9796,frf1k9li,naver.com,불교
72,이훈희,여,152.7,58.1,A형,1980-10-23,010-6800-9076,c57lq0jogqo,daum.net,불교
73,민영성,여,156.1,51.5,B형,1983-01-16,010-0134-2416,ruyldrt,naver.com,기독교
74,신상석,여,159.5,50.3,B형,1969-06-27,010-9924-6394,ghgfjmgl,naver.com,불교
75,김정종,남,172.3,65.1,O형,1993-12-26,010-8706-3408,hjx3maphjpse,daum.net,무교
76,허정성,남,173.2,65.4,O형,1959-09-10,010-7231-5027,m40pcz,yahoo.com,불교
77,박상지,여,160.8,54.9,O형,1967-05-17,010-3005-8201,lkm0d6o,gmail.com,천주교
78,이지현,남,172.4,68,A형,1974-08-31,010-4459-8127,ophzbtg6n,daum.net,기독교
79,김영정,여,153.8,53.9,A형,1985-01-07,010-8121-4975,ugn9idlo4su,daum.net,무교
80,장영지,남,168.6,58.1,O형,1972-01-30,010-7130-8285,fg5r5qx7p29t,daum.net,기독교
81,이희영,남,177.6,67.2,B형,1995-07-01,010-2137-5842,thovkuf3eru,naver.com,기독교
82,최덕석,남,175.2,64.5,A형,1962-01-14,010-2136-8667,ggi74rug,daum.net,무교
83,김현지,여,147.1,50.2,B형,1982-04-21,010-8877-2458,f3t8n2jilk2j,daum.net,무교
84,오석훈,여,155.9,57.3,A형,1973-12-31,010-5476-2704,knqswk,gmail.com,기독교
85,박서남,남,170.8,76.4,B형,1972-06-06,010-6453-3168,kbt86e0xmg9p4,gmail.com,불교
86,류진지,여,153.6,56.5,A형,1976-05-22,010-0918-0198,vopxdi,daum.net,기독교
87,서지정,여,159,54.2,B형,1991-07-19,010-1497-1297,zu6gjiy5,naver.com,천주교
88,이협서,남,159.1,71.2,B형,1989-10-20,010-6443-4770,uvdgr7eyr25eh,daum.net,불교
89,박지택,여,140,54.8,B형,1995-04-07,010-5101-6451,clnqhq,naver.com,무교
90,강석훈,여,156.4,49.1,B형,1953-02-26,010-2903-7386,wo9nn6uk,yahoo.com,기독교
91,신남진,여,154,60.1,A형,1961-01-14,010-1864-1693,hit64vs,gmail.com,불교
92,신용택,여,155.6,50.2,B형,1984-11-17,010-0350-9744,y5uqz3wh1,gmail.com,기독교
93,최상용,남,167.9,67.5,A형,1953-11-23,010-7948-7185,axxx6ar27lpq,daum.net,무교
94,박은지,남,172.4,60.8,B형,1969-11-24,010-9586-3649,fdezghpuf7q,yahoo.com,불교
95,박지남,여,156.3,53.6,O형,1969-10-25,010-6912-6843,l7xuw88zdy3fj,naver.com,무교
96,오은현,여,148.4,54,B형,1946-11-19,010-0598-2493,z2rfr1o0sh98,gmail.com,무교
97,조현영,남,164,72.6,B형,1947-06-10,010-2037-3649,punt1zzpn,gmail.com,기독교
98,박준택,남,170.6,64.2,A형,1968-11-22,010-2657-0559,sp38i3l90,gmail.com,기독교
99,진용협,남,168.4,62.3,A형,1985-09-06,010-8857-7105,pno6mxv36h4,daum.net,천주교
100,한희은,여,153.7,59.6,AB형,1973-06-12,010-0276-7864,jf0ttscu2b,yahoo.com,기독교
101,최희지,여,149.5,53.8,A형,1992-08-26,010-7842-9526,czp5rq1bs,naver.com,불교
102,장은희,여,149.3,53.3,O형,1980-10-18,010-6868-9856,xapswmvctx7e,naver.com,무교
103,고희정,여,158.5,55.9,B형,1978-03-15,010-5676-2058,t9sj0h2c,gmail.com,천주교
104,신덕희,남,170.8,65.5,O형,1989-11-16,010-8074-5008,g2r3dj1huy7d,daum.net,무교
105,김석진,여,153.3,59.8,A형,1996-04-01,010-2198-5301,ep6z9cts,gmail.com,무교
106,김준덕,남,172.2,57.8,B형,1957-01-26,010-0884-8763,bn57maatt,yahoo.com,기독교
107,강성은,여,161.1,54.8,A형,1959-02-28,010-5658-6393,zgqdzkle,gmail.com,불교
108,정은협,남,176.8,59.7,A형,1992-02-11,010-5392-3325,d9s9c06,naver.com,기독교
109,성용희,여,149.7,52.8,A형,1955-04-20,010-0226-6846,avoa383,naver.com,무교
110,강우서,여,160.9,58,AB형,1964-04-07,010-4468-3521,t8wqs8z,yahoo.com,무교
111,이진훈,여,151.6,59.8,A형,1949-05-04,010-0961-6096,wtnj4wx0,gmail.com,무교
112,나석훈,남,172.8,57.9,A형,1966-02-19,010-9306-7183,c7ykasrrnuku2,naver.com,무교
113,문진훈,여,153.1,47.6,B형,1961-03-19,010-8235-0718,g06xjo2lcfng7,yahoo.com,무교
114,박희종,남,160.7,69.3,O형,1995-02-08,010-7993-7576,l4h3zvhh,gmail.com,불교
115,김남현,남,172.1,63.5,A형,1968-07-02,010-3803-3477,cyfanwdpi2qy,gmail.com,기독교
116,김택현,여,155.5,45.2,O형,1956-10-06,010-5406-0267,un9yji,daum.net,기독교
117,이상용,여,160.9,50.2,O형,1956-02-24,010-2776-4887,ljwghr4lrw3,gmail.com,무교
118,채석은,남,166.2,65.6,O형,1972-09-01,010-4213-3693,tw7d5srx6goz,daum.net,무교
119,이현진,남,155.5,67.7,B형,1958-08-17,010-1675-2219,xpfbsn0gs,gmail.com,무교
120,김준남,여,154.4,50.5,B형,1974-10-17,010-7928-0455,p8ex4puuqqn7,yahoo.com,기독교
121,김훈용,남,179.3,72.7,O형,1955-06-28,010-8345-4406,syncd5fpvw008,gmail.com,천주교
122,김상준,남,168.6,69.9,A형,1960-02-23,010-9700-4739,uhj02ed0,yahoo.com,천주교
123,박상성,여,153.2,50.9,B형,1957-09-30,010-5488-7242,nlrxsq5,yahoo.com,기독교
124,김우지,남,171.6,62.3,O형,1977-02-07,010-7722-2612,zu8ol9j2g4,yahoo.com,불교
125,이현협,여,153.4,59.3,O형,1985-10-23,010-5244-8659,ej90hsb9gbwl,daum.net,불교
126,김영우,여,158.6,54.1,B형,1946-04-21,010-7948-7146,tc9tomwshidt,gmail.com,무교
127,윤진택,남,170.5,65.1,A형,1954-12-11,010-9464-4072,k38cbl,naver.com,무교
128,김정석,남,177,65.9,O형,1964-10-21,010-0906-4805,qi7ajcab,yahoo.com,무교
129,최희훈,남,178,66,O형,1988-06-24,010-0623-7143,et1tqzj7x6e,gmail.com,천주교
130,이정준,여,155.9,45.4,O형,1960-04-20,010-0187-9432,gy6leel64i,naver.com,불교
131,정훈석,여,155,57.6,O형,1996-02-07,010-4947-9829,nwrkzbik1x9,naver.com,무교
132,최석현,여,159.6,51.2,AB형,1986-10-30,010-8923-6886,dpwiuf2s,gmail.com,불교
133,박우남,여,152.7,52.6,B형,1953-09-22,010-3585-0526,zi6y5ff41,yahoo.com,불교
134,어상준,남,163.7,58.2,B형,1973-01-15,010-5767-1821,lyi4llhi,gmail.com,무교
135,권서훈,남,176,65.5,B형,1947-04-18,010-8885-9376,klpq8d8pd20b,yahoo.com,무교
136,박희준,여,159.9,55.6,A형,1960-02-05,010-6317-7542,ma5qcpot,daum.net,불교
137,백훈영,남,173.3,65.4,A형,1959-02-11,010-7723-4304,mtx5q43q7a,naver.com,불교
138,이준석,여,155.6,54.7,AB형,1956-04-22,010-1773-9340,b032agjqu,yahoo.com,무교
139,최남준,남,183.7,62.8,B형,1954-08-20,010-8557-0927,sa9elktlgyb,yahoo.com,기독교
140,박훈상,남,178.9,63.1,O형,1981-08-17,010-5664-7508,x86tx35,naver.com,무교
141,김석용,여,158.5,60.8,A형,1983-04-20,010-1664-1403,xc09pi6,yahoo.com,무교
142,정지은,여,160.3,53.3,A형,1958-05-28,010-0516-5252,zelurxuze,yahoo.com,무교
143,최덕성,남,162.1,65.5,A형,1964-09-24,010-6055-5247,ewx6e3dpz0,daum.net,기독교
144,배남준,여,150.4,53.8,A형,1966-02-10,010-2508-9110,b873v2hm,daum.net,천주교
145,조종현,남,173.5,65.4,B형,1976-08-17,010-4980-6238,j979zt,naver.com,기독교
146,김덕서,남,168.8,63.8,B형,1977-07-18,010-7568-0076,o9wye3zx,yahoo.com,무교
147,오서남,여,157.3,53.1,A형,1969-07-25,010-5607-0266,z36hl5lqmc,gmail.com,무교
148,서지협,남,160.8,69.6,A형,1984-10-21,010-2480-6347,ks1u2y,naver.com,불교
149,박훈남,남,164.3,67,O형,1968-02-12,010-1939-2914,vs67n43k4hww,yahoo.com,천주교
150,박상지,남,178.1,70,B형,1976-12-09,010-7030-9683,qkqou45,gmail.com,불교
151,진종영,남,174,69.7,A형,1985-11-08,010-0633-2453,ew64hbdm5a,yahoo.com,기독교
152,박택진,여,157.3,49.7,B형,1958-09-29,010-6284-1772,q4emj5de15r6,daum.net,기독교
153,이희택,여,150.6,46.9,A형,1969-11-16,010-2403-2095,c0z57ulpt,yahoo.com,무교
154,백용종,여,161.7,50.4,A형,1956-04-17,010-4905-9461,w3g2e0e,yahoo.com,무교
