No,이름,성별,신장,체중,혈액형,생일,이메일도메인,종교관
1,범준종,남,166.3,65.3,O형,1954-07-30,naver.com,무교
2,김정서,남,173.7,70,B형,1971-02-02,daum.net,천주교
3,이성용,남,170.7,64,O형,1976-03-09,daum.net,불교
4,권현상,여,154.2,58.9,O형,1993-10-19,gmail.com,기독교
5,김준훈,남,165.1,68.8,A형,1946-10-28,daum.net,무교
6,박용희,여,155.5,57.2,AB형,1948-08-29,naver.com,기독교
7,강진택,여,156.1,41.7,B형,1968-07-15,naver.com,불교
8,정정종,여,160.5,52.7,A형,1975-11-12,daum.net,무교
9,정지성,여,153.5,54.1,A형,1994-06-25,gmail.com,무교
10,윤서협,남,171.3,69.3,O형,1992-03-02,yahoo.com,무교
11,채진협,여,161.5,60,B형,1954-11-07,yahoo.com,무교
12,이우준,남,174.3,61.6,A형,1990-08-24,naver.com,천주교
13,이지용,여,154.5,57.3,A형,1952-05-22,yahoo.com,기독교
14,정진우,여,161.8,49.3,A형,1956-09-03,daum.net,무교
15,정훈현,여,165.9,52.9,O형,1954-10-27,gmail.com,무교
16,김진은,남,166.6,64.7,B형,1952-07-25,gmail.com,무교
17,신성현,남,169.1,64,A형,1970-06-11,daum.net,불교
18,서훈서,여,160.4,50.2,B형,1969-09-25,naver.com,기독교
19,정석준,여,154.1,49.5,B형,1968-03-05,yahoo.com,무교
20,박희상,남,166.9,66.8,O형,1952-06-08,yahoo.com,무교
21,노서덕,남,170.2,67.9,B형,1956-04-01,daum.net,기독교
22,김상훈,여,153.9,58.4,AB형,1968-04-14,gmail.com,무교
23,정지상,남,168.2,64.7,A형,1970-04-20,naver.com,무교
24,신희준,여,157.5,48,AB형,1963-07-21,yahoo.com,기독교
25,송현훈,여,153.5,56.8,A형,1954-10-19,daum.net,기독교
26,조훈석,남,180.6,70.5,AB형,1950-05-28,gmail.com,불교
27,박은정,남,178.6,67.6,B형,1957-10-03,naver.com,불교
28,정택영,남,164.1,62.3,B형,1985-07-29,gmail.com,불교
29,박용지,남,169.5,64.8,B형,1981-06-03,yahoo.com,천주교
30,이지정,남,174.5,68.6,B형,1949-10-12,yahoo.com,천주교
31,김지우,남,175,68.3,A형,1980-02-13,gmail.com,기독교
32,김희성,여,146,54.4,B형,1988-08-22,daum.net,기독교
33,최은정,남,180,64.1,O형,1984-05-04,gmail.com,기독교
34,서상영,남,173.9,67.2,A형,1957-03-29,naver.com,불교
35,김희택,여,160.1,59.2,A형,1988-04-18,daum.net,불교
36,장훈준,여,153.4,54.5,B형,1946-12-01,daum.net,불교
37,우훈진,남,165.2,60.9,O형,1957-06-11,gmail.com,불교
38,김용우,남,171.4,69.1,B형,1984-02-22,daum.net,무교
39,박진준,남,167.1,64.7,O형,1962-06-26,naver.com,무교
40,김지성,여,153.4,67.8,A형,1981-05-17,daum.net,기독교
41,윤정훈,여,153.2,62.5,A형,1970-07-26,yahoo.com,기독교
42,성정용,여,154.9,55.5,A형,1995-01-25,gmail.com,무교
43,김서희,여,169.8,54.6,O형,1956-06-13,daum.net,무교
44,이훈지,남,178.6,59.3,A형,1969-02-12,gmail.com,기독교
45,한진성,여,152.9,50.4,B형,1948-04-12,yahoo.com,무교
46,장영상,남,163.7,68.4,AB형,1958-10-16,yahoo.com,무교
47,곽서종,남,175.4,63.8,B형,1993-08-24,yahoo.com,무교
48,안훈용,여,164.5,50.1,O형,1972-03-04,gmail.com,기독교
49,김정지,남,168.9,69.9,AB형,1964-05-21,gmail.com,무교
50,임준지,남,172,65.1,O형,1947-05-26,gmail.com,무교
51,이준용,여,151.1,62.7,A형,1951-03-01,naver.com,무교
52,남서지,여,150.6,57.3,B형,1955-01-14,naver.com,불교
53,최남훈,여,154.1,48.6,A형,1967-06-12,daum.net,무교
54,노성희,남,179.8,63.2,B형,1968-08-28,daum.net,천주교
55,김진준,남,173.7,60.2,O형,1989-12-21,gmail.com,무교
56,지택협,여,151.7,63.2,A형,1946-09-21,yahoo.com,무교
57,박택종,남,165.4,64.3,A형,1953-07-20,gmail.com,불교
58,김은남,여,149.5,59.7,A형,1992-07-14,gmail.com,기독교
59,이용종,남,171.1,71.4,A형,1984-10-16,yahoo.com,무교
60,박준지,남,168,74.5,B형,1964-07-19,yahoo.com,무교
61,김남훈,남,175.8,56.7,B형,1957-01-17,naver.com,불교
62,서영덕,남,177.4,69.7,A형,1952-09-23,yahoo.com,불교
63,이협영,여,159.4,60.3,B형,1957-04-28,daum.net,기독교
64,최훈상,남,171,67.9,O형,1986-08-10,naver.com,무교
65,김덕협,남,166.1,63.1,O형,1976-11-20,yahoo.com,기독교
66,이성은,남,162.7,68.7,A형,1981-03-19,naver.com,불교
67,이준훈,여,154.6,53.4,A형,1965-01-23,gmail.com,천주교
68,이종석,여,160.2,49.7,O형,1988-01-18,gmail.com,기독교
69,이종훈,남,163.1,62.4,B형,1955-11-16,daum.net,무교
70,최성우,여,163.1,51.8,B형,1948-09-28,naver.com,불교
71,소남지,남,173.6,68.1,A형,1988-11-30,naver.com,불교
72,이훈희,여,152.7,58.1,A형,1980-10-23,daum.net,불교
73,민영성,여,156.1,51.5,B형,1983-01-16,naver.com,기독교
74,신상석,여,159.5,50.3,B형,1969-06-27,naver.com,불교
75,김정종,남,172.3,65.1,O형,1993-12-26,daum.net,무교
76,허정성,남,173.2,65.4,O형,1959-09-10,yahoo.com,불교
77,박상지,여,160.8,54.9,O형,1967-05-17,gmail.com,천주교
78,이지현,남,172.4,68,A형,1974-08-31,daum.net,기독교
79,김영정,여,153.8,53.9,A형,1985-01-07,daum.net,무교
80,장영지,남,168.6,58.1,O형,1972-01-30,daum.net,기독교
81,이희영,남,177.6,67.2,B형,1995-07-01,naver.com,기독교
82,최덕석,남,175.2,64.5,A형,1962-01-14,daum.net,무교
83,김현지,여,147.1,50.2,B형,1982-04-21,daum.net,무교
84,오석훈,여,155.9,57.3,A형,1973-12-31,gmail.com,기독교
85,박서남,남,170.8,76.4,B형,1972-06-06,gmail.com,불교
86,류진지,여,153.6,56.5,A형,1976-05-22,daum.net,기독교
87,서지정,여,159,54.2,B형,1991-07-19,naver.com,천주교
88,이협서,남,159.1,71.2,B형,1989-10-20,daum.net,불교
89,박지택,여,140,54.8,B형,1995-04-07,naver.com,무교
90,강석훈,여,156.4,49.1,B형,1953-02-26,yahoo.com,기독교
91,신남진,여,154,60.1,A형,1961-01-14,gmail.com,불교
92,신용택,여,155.6,50.2,B형,1984-11-17,gmail.com,기독교
93,최상용,남,167.9,67.5,A형,1953-11-23,daum.net,무교
94,박은지,남,172.4,60.8,B형,1969-11-24,yahoo.com,불교
95,박지남,여,156.3,53.6,O형,1969-10-25,naver.com,무교
96,오은현,여,148.4,54,B형,1946-11-19,gmail.com,무교
97,조현영,남,164,72.6,B형,1947-06-10,gmail.com,기독교
98,박준택,남,170.6,64.2,A형,1968-11-22,gmail.com,기독교
99,진용협,남,168.4,62.3,A형,1985-09-06,daum.net,천주교
100,한희은,여,153.7,59.6,AB형,1973-06-12,yahoo.com,기독교
