No,이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관,최종학력,전공,학점
6890,이**,여성,"[150.0, 160.0[","[40.3, 50.0[",A형,1946****,*************,*************,gmail.com,무교,그리스도대학교,법학,3.27
9127,이**,여성,"[150.0, 160.0[","[40.3, 50.0[",O형,1946****,*************,*************,gmail.com,불교,서울여자대학교,예체능,0.97
25771,이**,여성,"[150.0, 160.0[","[40.3, 50.0[",B형,1946****,*************,*************,gmail.com,기독교,상명대학교,자연,2.75
15575,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",B형,1957****,*************,*************,naver.com,기독교,한성대학교,인문,0.64
80312,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",B형,1957****,*************,*************,naver.com,불교,이화여자대학,공학,2.26
98939,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",A형,1957****,*************,*************,gmail.com,기독교,광운대학교,교육,2.66
2533,이**,여성,"[150.0, 160.0[","[40.3, 50.0[",B형,1957****,*************,*************,gmail.com,천주교,덕성자대학교,예체능,0.87
10858,이**,여성,"[150.0, 160.0[","[40.3, 50.0[",AB형,1957****,*************,*************,daum.net,무교,상명대학교,예체능,1.2
14772,이**,여성,"[150.0, 160.0[","[40.3, 50.0[",A형,1957****,*************,*************,naver.com,무교,이화여자대학,인문,2.09
31266,이**,여성,"[150.0, 160.0[","[40.3, 50.0[",A형,1957****,*************,*************,gmail.com,무교,덕성자대학교,의학,1.5
9746,이**,여성,"[150.0, 160.0[","[40.3, 50.0[",A형,1958****,*************,*************,gmail.com,천주교,이화여자대학,교육,0.65
12018,이**,여성,"[150.0, 160.0[","[40.3, 50.0[",AB형,1958****,*************,*************,yahoo.com,무교,서강대학교,자연,1.45
70222,이**,여성,"[150.0, 160.0[","[40.3, 50.0[",B형,1958****,*************,*************,gmail.com,불교,장로회신학대학교,공학,2.64
12466,박**,여성,"[150.0, 160.0[","[40.3, 50.0[",O형,1961****,*************,*************,daum.net,무교,그리스도대학교,사회,3.3
46159,박**,여성,"[150.0, 160.0[","[40.3, 50.0[",B형,1961****,*************,*************,daum.net,무교,한성대학교,법학,1.48
95827,박**,여성,"[150.0, 160.0[","[40.3, 50.0[",A형,1961****,*************,*************,daum.net,기독교,건국대학교,예체능,0.32
2068,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",A형,1962****,*************,*************,gmail.com,무교,명지대학교,교육,0.64
2241,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",AB형,1962****,*************,*************,yahoo.com,무교,명지대학교,공학,3.19
28773,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",O형,1962****,*************,*************,naver.com,무교,성신여자대학교,인문,3.47
8401,이**,여성,"[150.0, 160.0[","[40.3, 50.0[",B형,1964****,*************,*************,naver.com,무교,한성대학교,예체능,0.25
13493,이**,여성,"[150.0, 160.0[","[40.3, 50.0[",B형,1964****,*************,*************,gmail.com,무교,KAIST,인문,1.09
59575,이**,여성,"[150.0, 160.0[","[40.3, 50.0[",B형,1964****,*************,*************,daum.net,무교,이화여자대학,인문,2.12
81632,이**,여성,"[150.0, 160.0[","[40.3, 50.0[",B형,1964****,*************,*************,gmail.com,불교,한국성서대학교,인문,4.43
14577,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",O형,1968****,*************,*************,yahoo.com,불교,한국체육대학교,인문,1.95
28025,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",B형,1968****,*************,*************,gmail.com,불교,KAIST,인문,2.08
35071,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",A형,1968****,*************,*************,naver.com,무교,한양대학교,사회,3.99
53379,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",A형,1968****,*************,*************,yahoo.com,무교,서경대학교,자연,0.08
6605,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",O형,1970****,*************,*************,naver.com,무교,홍익대학교,사회,3.72
13820,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",O형,1970****,*************,*************,yahoo.com,무교,건국대학교,의학,1.1
15719,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",A형,1970****,*************,*************,yahoo.com,무교,한국성서대학교,법학,4.39
42793,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",A형,1970****,*************,*************,gmail.com,무교,고려대학교,교육,0.23
8230,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",A형,1971****,*************,*************,gmail.com,기독교,한국성서대학교,예체능,0.25
19112,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",A형,1971****,*************,*************,naver.com,무교,광운대학교,공학,2.93
96379,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",O형,1971****,*************,*************,yahoo.com,천주교,한국외국어대학교,자연,3.48
32901,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",O형,1979****,*************,*************,gmail.com,무교,경기대학교,의학,2.68
53233,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",A형,1979****,*************,*************,yahoo.com,불교,홍익대학교,의학,1.77
67485,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",A형,1979****,*************,*************,naver.com,기독교,숙명여자대학교,법학,2.04
86825,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",A형,1979****,*************,*************,daum.net,무교,성신여자대학교,법학,4.03
38549,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",B형,1980****,*************,*************,daum.net,천주교,중앙대학교,예체능,1.34
38778,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",A형,1980****,*************,*************,gmail.com,기독교,서울과학기술대학교,자연,2.34
79422,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",B형,1980****,*************,*************,gmail.com,천주교,추계예술대학교,예체능,3.85
62651,이**,여성,"[150.0, 160.0[","[40.3, 50.0[",A형,1984****,*************,*************,daum.net,무교,연세대학교,교육,2.22
85000,이**,여성,"[150.0, 160.0[","[40.3, 50.0[",AB형,1984****,*************,*************,daum.net,기독교,추계예술대학교,자연,1.42
87179,이**,여성,"[150.0, 160.0[","[40.3, 50.0[",B형,1984****,*************,*************,yahoo.com,무교,한국방송통신대학교,법학,1.96
22023,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",O형,1986****,*************,*************,gmail.com,기독교,국민대학교,인문,1.7
26114,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",AB형,1986****,*************,*************,daum.net,불교,한국방송통신대학교,인문,0.09
28887,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",O형,1986****,*************,*************,naver.com,기독교,한영신학대학교,공학,3.57
70168,김**,여성,"[150.0, 160.0[","[40.3, 50.0[",B형,1986****,*************,*************,naver.com,무교,경희대학교,법학,1.45
6477,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1946****,*************,*************,gmail.com,무교,동덕여자대학교,교육,2.08
6688,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,gmail.com,천주교,한국체육대학교,교육,2.82
17839,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,gmail.com,기독교,국민대학교,예체능,4.21
20461,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1946****,*************,*************,daum.net,기독교,서강대학교,예체능,2.24
