No,이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관,최종학력,전공,학점
29,방협지,여성,156.0,53.3,AB형,19660908,010-5769-3053,m65mdyh9lj8gq,naver.com,천주교,숙명여자대학교,사회,2.18
39,이덕은,남성,169.7,62.1,A형,19881117,010-1444-6773,mxws5bvzo,daum.net,무교,총신대학교,사회,3.28
45,허준용,여성,163.6,54.1,O형,19530624,010-8367-6130,hj4f57jv,gmail.com,기독교,연세대학교,사회,0.82
49,송지준,남성,171.8,59.7,B형,19740610,010-5824-2609,weg541,yahoo.com,무교,국민대학교,의학,3.53
62,성우협,남성,174.4,59.7,A형,19940511,010-7255-5828,rsz7vlbllz,yahoo.com,무교,서울과학기술대학교,사회,1.56
67,박훈영,여성,152.2,55.0,O형,19550122,010-6466-6480,urwwk2a,gmail.com,무교,경기대학교,인문,4.44
98,백택진,남성,165.6,71.1,A형,19561014,010-5893-5590,qqt0mqsl0sk57,gmail.com,기독교,한국외국어대학교,인문,2.64
104,유택우,남성,167.7,60.0,O형,19601209,010-8976-5264,x3qi1ujaew1,naver.com,무교,서울여자대학교,의학,0.12
121,염우지,여성,157.6,53.4,B형,19860205,010-8980-0574,g0xoflf4kg7h1,naver.com,무교,서울과학기술대학교,법학,1.66
132,한진현,남성,167.7,69.3,A형,19661207,010-7376-2191,dml909d211e,yahoo.com,불교,한국외국어대학교,법학,0.5
134,김정성,남성,171.6,60.9,AB형,19800819,010-2568-5478,s4ecnu,daum.net,무교,서울여자대학교,공학,4.22
135,방진남,여성,155.4,55.5,O형,19470208,010-8978-5013,wvz0gpzbe3ir,naver.com,무교,서울기독대학교,교육,1.76
146,장준지,여성,159.0,60.3,A형,19631122,010-9337-6091,k1c97n5vmld,daum.net,기독교,숙명여자대학교,법학,0.09
147,정현우,여성,159.5,61.5,A형,19910912,010-3969-3819,px1fxn,naver.com,무교,홍익대학교,예체능,2.25
158,김우석,남성,171.6,66.5,A형,19880823,010-0848-8793,wit432ipar0t,naver.com,무교,감리교신학대학교,법학,0.13
168,이지서,여성,156.4,56.2,A형,19670419,010-6634-5481,iuslh0j,naver.com,기독교,한국외국어대학교,공학,2.75
186,우준진,남성,170.2,67.8,A형,19651215,010-0385-8633,jvo0wvbx,naver.com,무교,육군사관학교,교육,1.45
189,한용현,여성,150.3,55.9,AB형,19690827,010-9963-2979,i5jg0fpzu7,gmail.com,무교,삼육대학교,인문,1.33
190,권협훈,남성,168.5,65.7,O형,19770112,010-0676-4932,nv70m6jr1p,yahoo.com,기독교,가톨릭대학교,인문,3.27
194,류용준,여성,155.3,59.0,A형,19591104,010-7317-5970,chcriq7,gmail.com,무교,한국방송통신대학교,공학,0.99
213,손상진,남성,170.1,64.5,A형,19490903,010-9091-6151,jrop9mvbi,daum.net,무교,중앙대학교,법학,1.73
215,권성진,남성,162.2,65.7,A형,19641008,010-3803-0313,yl55mxowrb0,yahoo.com,불교,한국방송통신대학교,사회,0.38
227,박용덕,남성,166.6,71.1,A형,19590227,010-7455-3294,un5t13sjutrw,daum.net,무교,육군사관학교,법학,2.35
228,이남현,여성,162.3,56.1,A형,19910217,010-2504-8462,g95cfe26,daum.net,불교,한국방송통신대학교,교육,1.7
256,이훈남,남성,163.7,68.3,O형,19670208,010-8416-5949,etnu1l1gj,naver.com,기독교,한영신학대학교,의학,3.01
258,김희준,남성,165.0,72.5,B형,19830705,010-2504-0783,b8zgj6dp,yahoo.com,기독교,경기대학교,예체능,3.59
267,김지영,여성,157.1,52.0,O형,19500830,010-0623-2141,zfktd95dx,gmail.com,기독교,성신여자대학교,인문,3.55
276,최서우,여성,154.8,53.0,A형,19870316,010-6632-1328,b5axozbtxpbo,gmail.com,기독교,상명대학교,인문,3.79
287,황덕희,남성,168.7,64.4,B형,19910529,010-0119-3639,lfzm9s6mjen22,naver.com,무교,감리교신학대학교,예체능,1.95
296,석영진,여성,153.6,61.4,A형,19760413,010-9646-4988,dew7wdziu34,daum.net,무교,세종대학교,사회,1.69
300,오준택,여성,150.0,59.6,O형,19671028,010-6441-7083,romt3k,yahoo.com,무교,상명대학교,사회,0.8
304,강영석,남성,168.2,64.7,O형,19520521,010-8532-1571,jzhfh6h,daum.net,불교,서울시립대학교,공학,2.32
314,정훈협,여성,149.8,65.3,O형,19560306,010-4211-5549,bxvujrz97p,gmail.com,불교,동국대학교,자연,1.43
321,송준희,여성,160.1,61.4,B형,19490215,010-3479-6827,icxy91,naver.com,무교,한국외국어대학교,자연,0.19
324,정희우,여성,149.3,58.1,O형,19570427,010-4216-0420,pq59v7tq12g,daum.net,무교,서울교육대학교,교육,1.42
326,황성우,여성,158.6,61.4,O형,19771009,010-8525-0571,tfc2otx,gmail.com,무교,이화여자대학,사회,0.04
334,이종서,여성,152.9,51.6,O형,19671104,010-3233-7988,t1b3in16u,naver.com,무교,서강대학교,공학,0.65
335,이정택,여성,160.0,56.4,AB형,19710214,010-8824-9079,ym5mhqknoaypw,gmail.com,무교,성균관대학교,자연,0.53
359,나덕지,남성,162.0,65.0,A형,19561213,010-1843-8469,f2kcmde0osq,naver.com,무교,명지대학교,법학,2.25
364,박성희,여성,156.3,58.7,A형,19531126,010-4179-3582,q5nq4varh,gmail.com,불교,서경대학교,의학,4.46
365,송정훈,남성,167.5,65.5,A형,19610111,010-8776-6164,jzeljwb4mwk,yahoo.com,기독교,서울시립대학교,인문,2.5
370,정서지,남성,169.0,67.4,A형,19701207,010-3727-9967,uqkzq20j,naver.com,기독교,고려대학교,의학,3.12
396,오진우,여성,157.2,58.0,B형,19710604,010-7007-5219,rng6qafa,daum.net,무교,서울여자대학교,사회,3.79
406,곽은지,남성,172.5,69.2,B형,19880731,010-5445-5143,dm9q1tg6k66,daum.net,무교,한영신학대학교,법학,4.39
411,김택용,남성,158.1,63.8,B형,19510227,010-4719-8599,zv226r,gmail.com,무교,추계예술대학교,공학,1.23
414,김용영,여성,149.9,51.3,AB형,19850102,010-5384-9581,i3u8j4m,gmail.com,천주교,동국대학교,공학,0.18
420,이훈택,남성,167.8,67.2,O형,19671016,010-8860-3150,fyqothp,naver.com,기독교,서울교육대학교,인문,2.61
430,조덕은,여성,145.1,51.3,O형,19891108,010-3874-6482,opem6abol,yahoo.com,무교,숙명여자대학교,인문,2.13
