No,이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관,주거래은행,계좌번호,신용등급
23758,김**,여성,"[150.0, 160.0[","[40.1, 50.0[",A형,1951****,*************,*************,gmail.com,무교,외환은행,336-967274-575,9
37625,김**,여성,"[150.0, 160.0[","[40.1, 50.0[",A형,1951****,*************,*************,daum.net,무교,하나은행,781-050685-37611,4
52264,김**,여성,"[150.0, 160.0[","[40.1, 50.0[",O형,1951****,*************,*************,daum.net,무교,한국씨티은행,737-531643-707,2
90208,김**,여성,"[150.0, 160.0[","[40.1, 50.0[",O형,1951****,*************,*************,gmail.com,불교,기업은행,969-842442-07-751,5
2176,이**,여성,"[150.0, 160.0[","[40.1, 50.0[",A형,1955****,*************,*************,yahoo.com,무교,한국씨티은행,662-245799-630,7
24323,이**,여성,"[150.0, 160.0[","[40.1, 50.0[",O형,1955****,*************,*************,gmail.com,천주교,한국씨티은행,067-011583-514,8
84606,이**,여성,"[150.0, 160.0[","[40.1, 50.0[",AB형,1955****,*************,*************,gmail.com,무교,새마을금고,3-64650633897-9,1
73000,김**,여성,"[150.0, 160.0[","[40.1, 50.0[",A형,1961****,*************,*************,yahoo.com,불교,한국씨티은행,743-465005-167,9
76125,김**,여성,"[150.0, 160.0[","[40.1, 50.0[",A형,1961****,*************,*************,gmail.com,무교,국민은행,010669-06-521252,3
78217,김**,여성,"[150.0, 160.0[","[40.1, 50.0[",B형,1961****,*************,*************,naver.com,불교,수협중앙회,5930-0967-8908,5
1055,이**,여성,"[150.0, 160.0[","[40.1, 50.0[",B형,1965****,*************,*************,gmail.com,기독교,신한은행,545-582-455739,6
6520,이**,여성,"[150.0, 160.0[","[40.1, 50.0[",B형,1965****,*************,*************,daum.net,무교,스탠다드(제일),103-92-400822,6
14192,이**,여성,"[150.0, 160.0[","[40.1, 50.0[",O형,1965****,*************,*************,gmail.com,무교,수협중앙회,7381-2876-2224,2
38569,이**,여성,"[150.0, 160.0[","[40.1, 50.0[",O형,1965****,*************,*************,yahoo.com,불교,하나은행,330-453514-38354,2
97185,이**,여성,"[150.0, 160.0[","[40.1, 50.0[",A형,1965****,*************,*************,yahoo.com,무교,기업은행,726-588364-76-559,7
9284,김**,여성,"[150.0, 160.0[","[40.1, 50.0[",A형,1976****,*************,*************,naver.com,기독교,우리은행,3272-077-386655,7
27829,김**,여성,"[150.0, 160.0[","[40.1, 50.0[",A형,1976****,*************,*************,daum.net,무교,외환은행,773-589650-634,6
98919,김**,여성,"[150.0, 160.0[","[40.1, 50.0[",B형,1976****,*************,*************,gmail.com,불교,수협중앙회,9007-4470-5541,3
5216,김**,여성,"[150.0, 160.0[","[40.1, 50.0[",B형,1982****,*************,*************,gmail.com,천주교,수협중앙회,2696-2785-3511,4
10468,김**,여성,"[150.0, 160.0[","[40.1, 50.0[",O형,1982****,*************,*************,gmail.com,무교,기업은행,135-050316-24-049,7
45511,김**,여성,"[150.0, 160.0[","[40.1, 50.0[",O형,1982****,*************,*************,yahoo.com,천주교,우리은행,9056-764-245571,5
26982,이**,여성,"[150.0, 160.0[","[40.1, 50.0[",B형,1983****,*************,*************,daum.net,기독교,우리은행,7417-799-949944,6
39819,이**,여성,"[150.0, 160.0[","[40.1, 50.0[",O형,1983****,*************,*************,gmail.com,불교,수협중앙회,8782-0299-0437,9
52021,이**,여성,"[150.0, 160.0[","[40.1, 50.0[",B형,1983****,*************,*************,naver.com,불교,NH농협,086-3226-289-57,8
88351,이**,여성,"[150.0, 160.0[","[40.1, 50.0[",AB형,1983****,*************,*************,gmail.com,무교,한국씨티은행,441-997349-362,7
66308,김**,여성,"[150.0, 160.0[","[40.1, 50.0[",B형,1988****,*************,*************,daum.net,기독교,NH농협,189-7703-506-96,4
75184,김**,여성,"[150.0, 160.0[","[40.1, 50.0[",B형,1988****,*************,*************,gmail.com,무교,신한은행,572-502-096297,4
91200,김**,여성,"[150.0, 160.0[","[40.1, 50.0[",AB형,1988****,*************,*************,daum.net,불교,수협중앙회,9397-6209-9546,5
35857,김**,여성,"[150.0, 160.0[","[40.1, 50.0[",O형,1989****,*************,*************,gmail.com,무교,새마을금고,1-36070368193-1,6
41170,김**,여성,"[150.0, 160.0[","[40.1, 50.0[",B형,1989****,*************,*************,daum.net,무교,한국씨티은행,226-961928-287,7
77614,김**,여성,"[150.0, 160.0[","[40.1, 50.0[",O형,1989****,*************,*************,daum.net,기독교,NH농협,467-5415-350-15,7
92696,김**,여성,"[150.0, 160.0[","[40.1, 50.0[",A형,1989****,*************,*************,daum.net,무교,우리은행,6968-265-618612,4
2468,이**,여성,"[150.0, 160.0[","[40.1, 50.0[",A형,1996****,*************,*************,naver.com,무교,스탠다드(제일),183-44-697394,2
52276,이**,여성,"[150.0, 160.0[","[40.1, 50.0[",B형,1996****,*************,*************,daum.net,무교,국민은행,140318-02-756464,2
53756,이**,여성,"[150.0, 160.0[","[40.1, 50.0[",A형,1996****,*************,*************,daum.net,불교,새마을금고,9-84632726603-2,3
87778,이**,여성,"[150.0, 160.0[","[40.1, 50.0[",A형,1996****,*************,*************,naver.com,천주교,NH농협,029-4963-399-41,8
7305,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,yahoo.com,불교,국민은행,502697-09-187318,5
19660,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,naver.com,기독교,외환은행,784-058709-438,5
78506,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,daum.net,무교,하나은행,622-318616-53419,1
10609,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",A형,1946****,*************,*************,gmail.com,무교,NH농협,123-4639-648-06,6
62699,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",O형,1946****,*************,*************,gmail.com,무교,NH농협,361-7340-950-29,3
69141,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",B형,1946****,*************,*************,yahoo.com,무교,우리은행,9595-535-755164,9
74587,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",B형,1946****,*************,*************,naver.com,불교,외환은행,351-413341-237,6
78281,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",A형,1946****,*************,*************,yahoo.com,불교,새마을금고,8-66421192982-9,4
9630,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,naver.com,불교,한국씨티은행,053-298407-740,6
23264,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,gmail.com,불교,외환은행,436-545142-711,9
34433,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1946****,*************,*************,gmail.com,무교,한국씨티은행,370-202660-299,9
54310,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1946****,*************,*************,yahoo.com,무교,외환은행,407-702971-324,4
57585,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,naver.com,무교,우리은행,4297-577-904963,7
57643,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1946****,*************,*************,gmail.com,기독교,한국씨티은행,801-016866-366,3
59309,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1946****,*************,*************,gmail.com,무교,새마을금고,1-33540725793-3,5
64937,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,yahoo.com,기독교,외환은행,475-835366-501,3
66691,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,gmail.com,불교,NH농협,667-9064-926-03,1
11782,신**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,daum.net,무교,기업은행,936-750460-16-439,4
46680,신**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,gmail.com,천주교,수협중앙회,4554-2527-2750,5
99697,신**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1946****,*************,*************,gmail.com,불교,국민은행,658203-83-200491,7
3569,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,naver.com,무교,한국씨티은행,830-291826-817,9
11382,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,daum.net,무교,NH농협,451-8335-470-68,7
