No,이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관,주거래은행,계좌번호,신용등급
8,신종지,여성,166.8,62.0,O형,19471008,010-4211-8436,wffavxhf,naver.com,불교,스탠다드(제일),117-27-123225,9
9,이현지,남성,169.6,65.0,O형,19761102,010-2630-9742,eiu6hvcd124z1,daum.net,불교,NH농협,795-9974-820-61,6
17,김희택,여성,154.5,54.9,B형,19870508,010-9495-5776,zy5nc3wap13,gmail.com,무교,우리은행,1442-185-286499,7
19,이지성,남성,172.2,63.1,O형,19880714,010-8022-5381,hn6quqa,naver.com,무교,신한은행,460-604-196974,6
20,조용지,여성,150.9,45.4,A형,19931103,010-7075-4230,cvgo9gfrae3,naver.com,무교,새마을금고,7-76839938232-5,1
21,송영성,남성,172.9,61.6,B형,19670815,010-4578-6694,meav5r9g34hud,naver.com,불교,하나은행,973-371999-20560,6
44,문지은,여성,163.1,51.0,O형,19471128,010-2772-5865,syj7tmmvxpr,daum.net,무교,신한은행,860-354-451516,9
53,우협성,남성,176.4,65.7,O형,19460624,010-7545-3989,p73eejhlzg,yahoo.com,무교,한국씨티은행,246-215624-467,4
57,이현지,여성,154.5,55.9,A형,19570201,010-0454-0385,sna7tvcgfqf0,daum.net,무교,한국씨티은행,889-843191-154,8
61,백우진,남성,167.9,69.3,B형,19920209,010-2333-1731,hv9uqj4bk4,naver.com,무교,하나은행,114-064703-11998,1
63,김종남,여성,151.5,52.4,O형,19540220,010-3499-7604,hn8lai1062,yahoo.com,무교,우리은행,6570-260-401972,2
88,박정종,남성,169.3,61.5,AB형,19520721,010-8091-6919,iibqjadgfu2nz,yahoo.com,불교,새마을금고,8-65285629337-9,2
108,권진지,여성,156.5,51.5,A형,19790404,010-2687-8567,cgrfdfc7z67v,daum.net,무교,수협중앙회,7917-7218-6525,9
117,황택상,여성,159.0,54.3,O형,19930114,010-7466-6889,e54wn69i,gmail.com,무교,새마을금고,8-91747783536-2,8
134,김정성,남성,171.6,60.9,AB형,19800819,010-2568-5478,s4ecnu,daum.net,무교,외환은행,952-098011-388,4
138,이준정,여성,159.0,56.9,O형,19540601,010-8812-9466,y0808th,gmail.com,무교,국민은행,380346-85-568212,8
161,이덕서,남성,178.5,64.5,A형,19850814,010-5806-7625,mpb0lk22d,yahoo.com,무교,한국씨티은행,674-124607-181,9
164,이종훈,여성,152.0,58.7,B형,19861114,010-9646-3159,abm6ds46woi7,daum.net,무교,신한은행,771-029-294803,3
170,정석서,남성,169.9,68.5,A형,19890713,010-8395-9802,h8p36h,gmail.com,무교,NH농협,266-1365-220-83,9
173,이협택,여성,155.0,47.7,B형,19540308,010-9188-9351,wnef6dj3l,gmail.com,기독교,한국씨티은행,043-849154-107,9
178,임훈영,남성,164.6,66.5,AB형,19670517,010-8869-7021,bwrutqsk,gmail.com,무교,외환은행,125-832846-039,4
180,이석택,남성,175.7,64.5,O형,19930805,010-7542-7833,i5jymemaww,yahoo.com,무교,한국씨티은행,414-659714-152,6
184,유협영,여성,161.4,50.3,O형,19560406,010-0635-0299,yfr4p0f8hem,naver.com,불교,우리은행,0661-796-251489,1
190,권협훈,남성,168.5,65.7,O형,19770112,010-0676-4932,nv70m6jr1p,yahoo.com,기독교,신한은행,512-042-171295,7
200,진지종,여성,155.8,63.9,AB형,19711118,010-8834-7687,e8sp74eo5,yahoo.com,무교,기업은행,995-861804-26-566,5
210,노준지,남성,173.1,64.1,A형,19490810,010-5533-8620,nyt50nwf,naver.com,불교,기업은행,953-679299-93-245,3
215,권성진,남성,162.2,65.7,A형,19641008,010-3803-0313,yl55mxowrb0,yahoo.com,불교,신한은행,933-708-339145,7
240,문영덕,남성,165.1,65.4,B형,19831108,010-7581-8341,fgln6obpguo,naver.com,천주교,하나은행,843-562476-79238,8
241,명준현,남성,166.6,65.6,B형,19610917,010-8242-4993,tnw8em56tc,daum.net,천주교,한국씨티은행,503-216446-386,4
242,백우훈,남성,175.8,72.5,O형,19920204,010-6965-8173,amgybakw,gmail.com,무교,하나은행,978-929591-43291,3
259,박용성,남성,171.0,69.1,A형,19620617,010-3652-0633,yvijv2,gmail.com,무교,NH농협,110-0711-554-83,7
273,강덕현,여성,150.3,54.2,B형,19670608,010-9282-2466,t1whni,gmail.com,기독교,NH농협,107-3207-318-31,7
279,박택남,여성,153.9,57.2,B형,19640929,010-8853-9635,dycx1mbx,yahoo.com,무교,새마을금고,5-48137097178-5,9
281,최훈준,남성,168.5,62.0,O형,19530801,010-6693-1045,xks2celvm,gmail.com,불교,하나은행,181-649411-07510,6
282,박현상,여성,154.8,52.2,B형,19771003,010-2457-9745,ztim22n4,yahoo.com,무교,신한은행,476-675-737127,4
283,김우훈,남성,168.8,71.3,A형,19790902,010-2104-1817,ivholyltyh3w1,gmail.com,천주교,기업은행,769-293328-91-229,3
290,김덕남,여성,164.8,55.3,B형,19541128,010-6083-3344,hdfm2uaryfk,gmail.com,무교,우리은행,5329-101-994979,3
299,이훈희,여성,155.5,52.2,B형,19950225,010-7599-5705,j46y95vt1wlol,yahoo.com,무교,외환은행,087-504084-805,2
