No,이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관,IP,MAC
3,박현진,남성,178.3,69.3,AB형,19540805,010-5304-7930,unraniqf,gmail.com,무교,92.243.64.63,c3:38:bd:57:47:9d
8,신종지,여성,166.8,62.0,O형,19471008,010-4211-8436,wffavxhf,naver.com,불교,192.174.125.106,9b:1e:04:9c:57:05
20,조용지,여성,150.9,45.4,A형,19931103,010-7075-4230,cvgo9gfrae3,naver.com,무교,49.184.160.44,0c:20:05:28:e5:7b
26,김준용,남성,159.7,70.0,A형,19661001,010-4751-6637,bstrl7du0ah3,gmail.com,무교,21.74.240.253,a2:ae:43:c4:5e:55
42,이영준,남성,163.1,63.2,B형,19670628,010-6024-2384,mw4q7abcxrq5n,gmail.com,불교,137.194.167.199,67:d2:f0:7f:bd:9b
60,김남지,여성,165.5,56.2,AB형,19851108,010-8188-7767,z5rrjeexjbt,daum.net,무교,14.243.192.158,33:3b:a2:ed:1f:c1
63,김종남,여성,151.5,52.4,O형,19540220,010-3499-7604,hn8lai1062,yahoo.com,무교,57.222.38.157,63:0f:02:dc:8f:0f
68,오협정,남성,171.2,61.7,AB형,19740126,010-2945-9692,hdrkb1bl0cd,naver.com,불교,39.201.31.149,94:0f:60:b2:76:8e
76,원훈용,여성,153.4,54.4,O형,19830911,010-3439-9498,ifhthpml57kg,yahoo.com,무교,73.8.5.157,b0:9e:86:41:34:3b
96,강지택,여성,157.4,53.0,B형,19560530,010-6676-9726,ra9xrqc5u5g,naver.com,무교,220.39.127.252,09:c7:47:15:1c:a0
114,김덕은,여성,158.5,54.1,O형,19810408,010-6643-7705,o7b5e1c,naver.com,천주교,139.170.115.59,a4:d5:86:73:b6:16
119,서택석,여성,158.5,52.6,O형,19810514,010-0223-2181,k7rer0fdphqk,yahoo.com,불교,233.53.58.25,cd:4d:9e:a6:35:fc
130,김상진,남성,175.0,63.8,AB형,19530831,010-5373-3033,hy6j2fm,gmail.com,기독교,8.247.182.27,5f:9f:e5:d4:ef:32
139,박훈석,여성,160.3,60.0,O형,19540905,010-4815-4494,bnl4rw1veczxz,yahoo.com,기독교,124.143.182.95,e5:86:25:d8:54:eb
