No,이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관,주거래은행,계좌번호,신용등급
6863,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1947****,*************,*************,yahoo.com,불교,새마을금고,1-84278061978-1,6
8420,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1947****,*************,*************,gmail.com,무교,기업은행,455-162016-22-065,8
38818,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1947****,*************,*************,gmail.com,무교,수협중앙회,1327-7817-0630,9
10331,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1947****,*************,*************,naver.com,기독교,수협중앙회,4488-0785-4848,8
36867,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1947****,*************,*************,gmail.com,무교,하나은행,173-296032-07174,1
38648,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1947****,*************,*************,gmail.com,무교,우리은행,2638-606-122066,9
11985,조**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1948****,*************,*************,gmail.com,불교,스탠다드(제일),210-18-557874,2
30941,조**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1948****,*************,*************,naver.com,기독교,국민은행,199203-42-809290,5
36449,조**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1948****,*************,*************,naver.com,천주교,NH농협,178-2674-638-04,1
2665,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1950****,*************,*************,daum.net,기독교,새마을금고,4-14384616703-3,3
14018,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1950****,*************,*************,gmail.com,무교,우리은행,6328-677-715921,2
14217,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1950****,*************,*************,naver.com,무교,외환은행,871-532209-004,5
12982,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1951****,*************,*************,daum.net,무교,NH농협,720-1352-112-57,2
25832,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1951****,*************,*************,daum.net,무교,우리은행,4634-622-063093,6
28302,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1951****,*************,*************,naver.com,무교,국민은행,291338-32-274747,4
