No,이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관,IP,MAC
97,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1950****,*************,*************,gmail.com,기독교,124.80.244.58,38:26:ce:ad:03:61
7071,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1950****,*************,*************,yahoo.com,무교,203.45.10.233,ae:29:27:e1:05:30
14601,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1950****,*************,*************,yahoo.com,천주교,61.218.70.69,ff:84:b3:0d:ea:a9
5928,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1951****,*************,*************,gmail.com,무교,5.143.14.43,00:cf:ff:88:9f:ba
12982,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1951****,*************,*************,daum.net,무교,164.222.180.218,0a:ec:65:a7:b7:95
28302,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1951****,*************,*************,naver.com,무교,110.170.153.232,f1:ae:53:4d:36:17
3105,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1953****,*************,*************,gmail.com,무교,31.75.197.160,38:fc:40:ec:9b:88
24085,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1953****,*************,*************,daum.net,기독교,211.69.15.192,c6:09:50:fa:49:5d
35401,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1953****,*************,*************,naver.com,기독교,85.227.53.149,06:f1:b3:df:01:6d
4917,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1954****,*************,*************,naver.com,기독교,88.222.31.177,65:5b:af:0f:f2:73
11982,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1954****,*************,*************,naver.com,불교,147.220.161.249,39:ac:a2:c4:c8:72
14884,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1954****,*************,*************,gmail.com,불교,113.102.207.22,d1:f2:d4:de:a5:5c
18842,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1955****,*************,*************,naver.com,무교,54.216.55.61,06:94:7e:0b:bc:c6
20606,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1955****,*************,*************,daum.net,무교,69.85.27.204,d6:56:f3:f9:49:e3
