CORRECT LIST
['2665', '이**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'B형', '1950****', '*************', '*************', 'daum.net', '기독교', '성공회대학교', '의학', '3.8']
['14018', '이**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'A형', '1950****', '*************', '*************', 'gmail.com', '무교', '한국방송통신대학교', '공학', '3.29']
['1026', '박**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'A형', '1956****', '*************', '*************', 'yahoo.com', '무교', 'KAIST', '인문', '2.95']
['11202', '박**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'B형', '1956****', '*************', '*************', 'gmail.com', '불교', '추계예술대학교', '예체능', '3.71']
['1440', '이**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'A형', '1989****', '*************', '*************', 'yahoo.com', '무교', '한영신학대학교', '의학', '2.7']
['36839', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'A형', '1994****', '*************', '*************', 'gmail.com', '무교', '서경대학교', '공학', '4.05']
['11298', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1946****', '*************', '*************', 'naver.com', '천주교', '서울기독대학교', '인문', '3.27']
['17942', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1946****', '*************', '*************', 'daum.net', '무교', '국민대학교', '인문', '2.64']
['8070', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1946****', '*************', '*************', 'daum.net', '불교', '국민대학교', '자연', '4.17']
['15329', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1946****', '*************', '*************', 'yahoo.com', '무교', '서강대학교', '교육', '2.35']
['33807', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1946****', '*************', '*************', 'yahoo.com', '무교', '고려대학교', '자연', '0.57']
['3482', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1946****', '*************', '*************', 'yahoo.com', '기독교', '국민대학교', '자연', '0.42']
['25900', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1946****', '*************', '*************', 'naver.com', '기독교', '중앙대학교', '자연', '0.93']
['27027', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1946****', '*************', '*************', 'yahoo.com', '무교', '가톨릭대학교', '공학', '0.76']
['30687', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1946****', '*************', '*************', 'naver.com', '기독교', '서울시립대학교', '의학', '0.3']
['7627', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1946****', '*************', '*************', 'gmail.com', '천주교', '서울과학기술대학교', '공학', '3.98']
['1044', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1947****', '*************', '*************', 'naver.com', '기독교', '숙명여자대학교', '인문', '2.49']
['14352', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'gmail.com', '무교', '한성대학교', '사회', '2.04']
['29317', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'daum.net', '기독교', '서울시립대학교', '공학', '0.22']
['30869', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'daum.net', '무교', '동덕여자대학교', '예체능', '4.43']
['38788', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1947****', '*************', '*************', 'daum.net', '무교', '한국성서대학교', '인문', '3.65']
['3879', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'yahoo.com', '무교', '한성대학교', '공학', '2.04']
['16804', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1947****', '*************', '*************', 'naver.com', '무교', '서경대학교', '예체능', '1.75']
