CORRECT LIST
['14884', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'B형', '1954****', '*************', '*************', 'gmail.com', '불교', '한국체육대학교', '의학', '1.16']
['25000', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'A형', '1954****', '*************', '*************', 'yahoo.com', '불교', '그리스도대학교', '사회', '2.54']
['19359', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'A형', '1960****', '*************', '*************', 'yahoo.com', '무교', '서강대학교', '인문', '1.75']
['32325', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'AB형', '1960****', '*************', '*************', 'gmail.com', '기독교', '장로회신학대학교', '의학', '0.87']
['6535', '김**', '여성', '[160.0, 170.0[', '[40.0, 50.0[', 'O형', '1971****', '*************', '*************', 'daum.net', '기독교', '서울대학교', '법학', '2.73']
['14798', '김**', '여성', '[160.0, 170.0[', '[40.0, 50.0[', 'A형', '1971****', '*************', '*************', 'yahoo.com', '기독교', '연세대학교', '자연', '1.87']
['27995', '김**', '여성', '[160.0, 170.0[', '[40.0, 50.0[', 'A형', '1971****', '*************', '*************', 'yahoo.com', '무교', '총신대학교', '교육', '0.12']
['18421', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'O형', '1985****', '*************', '*************', 'naver.com', '천주교', '국민대학교', '사회', '1.66']
['34610', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1946****', '*************', '*************', 'daum.net', '무교', '광운대학교', '사회', '0.24']
['31777', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1946****', '*************', '*************', 'naver.com', '무교', '한국방송통신대학교', '사회', '0.77']
['34807', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1946****', '*************', '*************', 'gmail.com', '무교', '성공회대학교', '인문', '3.71']
['39242', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1946****', '*************', '*************', 'gmail.com', '불교', '삼육대학교', '의학', '0.6']
['28867', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1946****', '*************', '*************', 'gmail.com', '불교', '한영신학대학교', '사회', '3.76']
['30687', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1946****', '*************', '*************', 'naver.com', '기독교', '서울시립대학교', '의학', '0.3']
['7627', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1946****', '*************', '*************', 'gmail.com', '천주교', '서울과학기술대학교', '공학', '3.98']
['5949', '황**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1946****', '*************', '*************', 'naver.com', '무교', '건국대학교', '교육', '4.35']
['35733', '황**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1946****', '*************', '*************', 'naver.com', '불교', '동국대학교', '교육', '4.29']
['137', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'daum.net', '무교', '이화여자대학', '사회', '0.66']
['1044', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1947****', '*************', '*************', 'naver.com', '기독교', '숙명여자대학교', '인문', '2.49']
['8228', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'daum.net', '천주교', '서울기독대학교', '사회', '1.72']
['30869', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'daum.net', '무교', '동덕여자대학교', '예체능', '4.43']
['32834', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1947****', '*************', '*************', 'naver.com', '천주교', '건국대학교', '인문', '3.18']
['3879', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'yahoo.com', '무교', '한성대학교', '공학', '2.04']
['31151', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1947****', '*************', '*************', 'yahoo.com', '무교', '동덕여자대학교', '교육', '0.72']
['13277', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1947****', '*************', '*************', 'yahoo.com', '무교', '한성대학교', '자연', '3.06']
['37463', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'naver.com', '무교', '장로회신학대학교', '공학', '3.04']
['18506', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1947****', '*************', '*************', 'naver.com', '무교', '덕성자대학교', '예체능', '4.43']
['33640', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'yahoo.com', '기독교', '서울시립대학교', '예체능', '2.47']
['1505', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1948****', '*************', '*************', 'daum.net', '기독교', '서울시립대학교', '법학', '0.95']
['17382', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1948****', '*************', '*************', 'daum.net', '기독교', '숭실대학교', '의학', '4.04']
['15928', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1948****', '*************', '*************', 'gmail.com', '무교', '성공회대학교', '예체능', '1.07']
['31353', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1948****', '*************', '*************', 'yahoo.com', '불교', '그리스도대학교', '예체능', '1.05']
['23365', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1948****', '*************', '*************', 'daum.net', '불교', '총신대학교', '사회', '4.15']
['30460', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1948****', '*************', '*************', 'gmail.com', '불교', '명지대학교', '자연', '3.21']
['6889', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1948****', '*************', '*************', 'gmail.com', '무교', '광운대학교', '인문', '1.9']
['5043', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1948****', '*************', '*************', 'naver.com', '불교', '숙명여자대학교', '자연', '0.59']
['1260', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1948****', '*************', '*************', 'naver.com', '불교', '중앙대학교', '예체능', '4.24']
['21497', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1948****', '*************', '*************', 'gmail.com', '무교', '중앙대학교', '인문', '2.56']
['32461', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1948****', '*************', '*************', 'gmail.com', '불교', '감리교신학대학교', '자연', '3.37']
['13600', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'A형', '1949****', '*************', '*************', 'naver.com', '기독교', '경희대학교', '예체능', '2.48']
['21237', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'AB형', '1949****', '*************', '*************', 'yahoo.com', '무교', '홍익대학교', '법학', '2.44']
['13334', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1949****', '*************', '*************', 'gmail.com', '불교', '한국성서대학교', '예체능', '1.86']
['15783', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1949****', '*************', '*************', 'gmail.com', '무교', '세종대학교', '법학', '2.6']
['20110', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1949****', '*************', '*************', 'naver.com', '무교', '한성대학교', '인문', '2.85']
['5466', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1949****', '*************', '*************', 'yahoo.com', '불교', '서울대학교', '자연', '1.35']
['25488', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1949****', '*************', '*************', 'yahoo.com', '천주교', '덕성자대학교', '예체능', '1.97']
['406', '이**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1949****', '*************', '*************', 'gmail.com', '불교', '경기대학교', '사회', '1.21']
['35461', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1949****', '*************', '*************', 'gmail.com', '기독교', '세종대학교', '예체능', '1.97']
['22028', '강**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1950****', '*************', '*************', 'yahoo.com', '기독교', '가톨릭대학교', '의학', '1.63']
['33545', '강**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1950****', '*************', '*************', 'daum.net', '기독교', '추계예술대학교', '사회', '2']
['3755', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1950****', '*************', '*************', 'gmail.com', '불교', '성균관대학교', '의학', '3.44']
['14051', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1950****', '*************', '*************', 'gmail.com', '무교', '명지대학교', '자연', '3.04']
['21616', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1950****', '*************', '*************', 'daum.net', '무교', '성신여자대학교', '예체능', '3.3']
