CORRECT LIST
['2665', '이**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'B형', '1950****', '*************', '*************', 'daum.net', '기독교', '새마을금고', '4-14384616703-3', '3']
['14018', '이**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'A형', '1950****', '*************', '*************', 'gmail.com', '무교', '우리은행', '6328-677-715921', '2']
['1026', '박**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'A형', '1956****', '*************', '*************', 'yahoo.com', '무교', '우리은행', '4218-493-719887', '8']
['11202', '박**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'B형', '1956****', '*************', '*************', 'gmail.com', '불교', '국민은행', '516425-48-052113', '8']
['1440', '이**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'A형', '1989****', '*************', '*************', 'yahoo.com', '무교', '새마을금고', '9-08538092597-1', '9']
['36839', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'A형', '1994****', '*************', '*************', 'gmail.com', '무교', '스탠다드(제일)', '503-90-721633', '8']
['11298', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1946****', '*************', '*************', 'naver.com', '천주교', 'NH농협', '509-0533-843-51', '2']
['17942', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1946****', '*************', '*************', 'daum.net', '무교', '수협중앙회', '6852-0794-6965', '6']
['8070', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1946****', '*************', '*************', 'daum.net', '불교', '하나은행', '965-702634-05357', '4']
['15329', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1946****', '*************', '*************', 'yahoo.com', '무교', '신한은행', '896-674-043073', '3']
['33807', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1946****', '*************', '*************', 'yahoo.com', '무교', '수협중앙회', '4659-9914-6205', '3']
['3482', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1946****', '*************', '*************', 'yahoo.com', '기독교', '수협중앙회', '3538-4710-0914', '5']
['7212', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1946****', '*************', '*************', 'yahoo.com', '무교', '한국씨티은행', '041-504606-746', '1']
['20234', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1946****', '*************', '*************', 'naver.com', '불교', '한국씨티은행', '935-935283-553', '3']
['25900', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1946****', '*************', '*************', 'naver.com', '기독교', '수협중앙회', '1011-7180-5283', '7']
['27027', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1946****', '*************', '*************', 'yahoo.com', '무교', '외환은행', '887-885143-332', '4']
['30687', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1946****', '*************', '*************', 'naver.com', '기독교', '한국씨티은행', '290-531358-165', '1']
['7627', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1946****', '*************', '*************', 'gmail.com', '천주교', '우리은행', '2529-660-886120', '3']
['1044', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1947****', '*************', '*************', 'naver.com', '기독교', '새마을금고', '5-41523876616-6', '3']
['14352', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'gmail.com', '무교', '스탠다드(제일)', '332-68-044128', '9']
['29317', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'daum.net', '기독교', '새마을금고', '9-20227311039-4', '9']
['30869', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'daum.net', '무교', '수협중앙회', '3518-7978-7652', '5']
['38788', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1947****', '*************', '*************', 'daum.net', '무교', '기업은행', '882-637131-22-104', '9']
['3879', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'yahoo.com', '무교', '한국씨티은행', '473-576033-601', '4']
['16804', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1947****', '*************', '*************', 'naver.com', '무교', '우리은행', '3322-049-333296', '8']
['35075', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1947****', '*************', '*************', 'yahoo.com', '무교', '스탠다드(제일)', '107-52-332448', '1']
['34044', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'naver.com', '무교', 'NH농협', '775-0588-028-21', '3']
['19908', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1947****', '*************', '*************', 'yahoo.com', '기독교', '외환은행', '755-748811-825', '7']
['6816', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1948****', '*************', '*************', 'naver.com', '천주교', '새마을금고', '5-92279725792-4', '7']
['9530', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1948****', '*************', '*************', 'gmail.com', '무교', '기업은행', '262-081056-07-820', '9']
['26893', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1948****', '*************', '*************', 'gmail.com', '기독교', '스탠다드(제일)', '570-31-394668', '3']
['31133', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1948****', '*************', '*************', 'yahoo.com', '기독교', '스탠다드(제일)', '728-40-004276', '8']
['9056', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1948****', '*************', '*************', 'yahoo.com', '불교', '하나은행', '863-303374-60747', '3']
['15928', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1948****', '*************', '*************', 'gmail.com', '무교', '우리은행', '4739-984-455950', '9']
['6043', '박**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1948****', '*************', '*************', 'naver.com', '무교', '하나은행', '701-454365-70546', '3']
['285', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1948****', '*************', '*************', 'gmail.com', '불교', '새마을금고', '1-48920713129-4', '9']
