['6', '박**', '여', '150.0~160.0', '55.0~60.0', 'AB형', '1948******', 'naver.com', '기독교']
=> ['305', '박협영', '여', '158.6', '53.3', 'A형', '1949-03-27', 'gmail.com', '불교']: 0.3
=> ['481', '박진서', '여', '153.8', '52.6', 'A형', '1958-11-10', 'gmail.com', '불교']: 0.3
=> ['435', '박협지', '여', '147.6', '57.3', 'O형', '1958-01-23', 'naver.com', '기독교']: 0.3
=> ['580', '박준우', '여', '168.5', '56.1', 'A형', '1947-08-30', 'gmail.com', '무교']: 0.3
=> ['6', '박용희', '여', '155.5', '57.2', 'AB형', '1948-08-29', 'naver.com', '기독교']: 0.3333
=> ['443', '박진영', '여', '152.4', '58.7', 'A형', '1946-01-28', 'naver.com', '기독교']: 0.3
=> ['237', '박서지', '여', '155.7', '56.7', 'A형', '1958-06-14', 'gmail.com', '불교']: 0.3
=> ['459', '박훈서', '여', '156.9', '54.9', 'AB형', '1988-07-06', 'yahoo.com', '무교']: 0.3
=> ['718', '박훈덕', '여', '157.2', '59.3', 'O형', '1948-01-30', 'naver.com', '불교']: 0.3333


['221', '박**', '여', '150.0~160.0', '55.0~60.0', 'A형', '1948******', 'daum.net', '불교']
=> ['988', '박택상', '여', '158', '54.7', 'O형', '1968-04-18', 'daum.net', '천주교']: 0.3
=> ['221', '박덕택', '여', '150.9', '55.7', 'A형', '1948-07-09', 'daum.net', '불교']: 0.3333
=> ['304', '박성은', '여', '152.3', '55.8', 'AB형', '1948-03-13', 'daum.net', '무교']: 0.3333


['304', '박**', '여', '150.0~160.0', '55.0~60.0', 'AB형', '1948******', 'daum.net', '무교']
=> ['988', '박택상', '여', '158', '54.7', 'O형', '1968-04-18', 'daum.net', '천주교']: 0.3
=> ['221', '박덕택', '여', '150.9', '55.7', 'A형', '1948-07-09', 'daum.net', '불교']: 0.3333
=> ['304', '박성은', '여', '152.3', '55.8', 'AB형', '1948-03-13', 'daum.net', '무교']: 0.3333


['718', '박**', '여', '150.0~160.0', '55.0~60.0', 'O형', '1948******', 'naver.com', '불교']
=> ['305', '박협영', '여', '158.6', '53.3', 'A형', '1949-03-27', 'gmail.com', '불교']: 0.3
=> ['481', '박진서', '여', '153.8', '52.6', 'A형', '1958-11-10', 'gmail.com', '불교']: 0.3
=> ['435', '박협지', '여', '147.6', '57.3', 'O형', '1958-01-23', 'naver.com', '기독교']: 0.3
=> ['580', '박준우', '여', '168.5', '56.1', 'A형', '1947-08-30', 'gmail.com', '무교']: 0.3
=> ['6', '박용희', '여', '155.5', '57.2', 'AB형', '1948-08-29', 'naver.com', '기독교']: 0.3333
=> ['443', '박진영', '여', '152.4', '58.7', 'A형', '1946-01-28', 'naver.com', '기독교']: 0.3
=> ['237', '박서지', '여', '155.7', '56.7', 'A형', '1958-06-14', 'gmail.com', '불교']: 0.3
=> ['459', '박훈서', '여', '156.9', '54.9', 'AB형', '1988-07-06', 'yahoo.com', '무교']: 0.3
=> ['718', '박훈덕', '여', '157.2', '59.3', 'O형', '1948-01-30', 'naver.com', '불교']: 0.3333


['206', '김**', '여', '150.0~160.0', '55.0~60.0', 'A형', '1949******', 'naver.com', '불교']
=> ['673', '김준은', '여', '157.6', '59.5', 'A형', '1949-06-20', 'naver.com', '기독교']: 0.3333
=> ['712', '김종영', '여', '162.9', '50.1', 'A형', '1946-01-04', 'naver.com', '천주교']: 0.3
=> ['619', '김종진', '여', '154.3', '50.3', 'B형', '1959-08-03', 'naver.com', '천주교']: 0.3
=> ['973', '김협준', '여', '151.4', '56.4', 'AB형', '1959-11-18', 'yahoo.com', '무교']: 0.3
=> ['206', '김준성', '여', '150.4', '58.6', 'A형', '1949-03-07', 'naver.com', '불교']: 0.3333
=> ['912', '김훈현', '여', '144.4', '58.9', 'B형', '1989-11-09', 'gmail.com', '무교']: 0.3
