['578', '***', '여성', '150.0~160.0', '45.0~50.0', 'A형', '1958******', '*************', '*************', 'yahoo.com', '불교']
=> ['578', '김택영', '여', '158.8', '48.8', 'A형', '1958-03-21', '010-5291-1897', 'hla6jy', 'yahoo.com', '불교']: 4.1576

['691', '***', '여성', '150.0~160.0', '45.0~50.0', 'O형', '1958******', '*************', '*************', 'daum.net', '불교']
=> ['691', '이은영', '여', '157.1', '48.7', 'O형', '1958-04-17', '010-1692-2371', 'lwmf3gwhiy', 'daum.net', '불교']: 4.1576

['152', '***', '여성', '150.0~160.0', '45.0~50.0', 'B형', '1958******', '*************', '*************', 'daum.net', '기독교']
=> ['152', '박택진', '여', '157.3', '49.7', 'B형', '1958-09-29', '010-6284-1772', 'q4emj5de15r6', 'daum.net', '기독교']: 4.1576

['126', '***', '여성', '150.0~160.0', '50.0~55.0', 'B형', '1946******', '*************', '*************', 'gmail.com', '무교']
=> ['126', '김영우', '여', '158.6', '54.1', 'B형', '1946-04-21', '010-7948-7146', 'tc9tomwshidt', 'gmail.com', '무교']: 4.1576

['803', '***', '여성', '150.0~160.0', '50.0~55.0', 'O형', '1946******', '*************', '*************', 'yahoo.com', '기독교']
=> ['803', '김서희', '여', '156.3', '53', 'O형', '1946-03-27', '010-7794-7381', 'mtpwhih85', 'yahoo.com', '기독교']: 4.1576

['643', '***', '여성', '150.0~160.0', '50.0~55.0', 'A형', '1946******', '*************', '*************', 'yahoo.com', '무교']
=> ['643', '송종성', '여', '159', '54.6', 'A형', '1946-11-20', '010-3179-0963', 'e8p1ph', 'yahoo.com', '무교']: 4.1576

['36', '***', '여성', '150.0~160.0', '50.0~55.0', 'B형', '1946******', '*************', '*************', 'daum.net', '불교']
=> ['36', '장훈준', '여', '153.4', '54.5', 'B형', '1946-12-01', '010-7035-7440', 'vn065aazqe4o8', 'daum.net', '불교']: 4.1576

['360', '***', '여성', '150.0~160.0', '50.0~55.0', 'O형', '1952******', '*************', '*************', 'gmail.com', '기독교']
=> ['360', '김은덕', '여', '156.7', '53.6', 'O형', '1952-07-12', '010-0346-6994', 'g0j4yedlqed', 'gmail.com', '기독교']: 4.1576

['204', '***', '여성', '150.0~160.0', '50.0~55.0', 'A형', '1952******', '*************', '*************', 'naver.com', '불교']
=> ['204', '박서현', '여', '153.1', '52.9', 'A형', '1952-12-27', '010-8874-5963', 'anfenun', 'naver.com', '불교']: 4.1576

['160', '***', '여성', '150.0~160.0', '50.0~55.0', 'B형', '1952******', '*************', '*************', 'naver.com', '기독교']
=> ['160', '송석현', '여', '155.1', '51.6', 'B형', '1952-03-27', '010-2133-3538', 'bk9b6ntn79', 'naver.com', '기독교']: 4.1576

['289', '***', '여성', '150.0~160.0', '50.0~55.0', 'AB형', '1952******', '*************', '*************', 'naver.com', '무교']
=> ['289', '송협덕', '여', '153.3', '52.5', 'AB형', '1952-06-30', '010-4106-8104', 'mtud8c', 'naver.com', '무교']: 4.1576

['133', '***', '여성', '150.0~160.0', '50.0~55.0', 'B형', '1953******', '*************', '*************', 'yahoo.com', '불교']
=> ['133', '박우남', '여', '152.7', '52.6', 'B형', '1953-09-22', '010-3585-0526', 'zi6y5ff41', 'yahoo.com', '불교']: 4.1576

['869', '***', '여성', '150.0~160.0', '50.0~55.0', 'AB형', '1953******', '*************', '*************', 'daum.net', '무교']
=> ['869', '신남종', '여', '151.9', '53.9', 'AB형', '1953-04-04', '010-8304-7353', 'r4x0k3lxg1rbv', 'daum.net', '무교']: 4.1576

