['1', '***', '남성', '160.0~170.0', '60.0~70.0', 'B형', '1995******', '*********', '*************', 'naver.com', '무교']
=> ['1', '김종종', '남성', '168.1', '65.4', 'B형', '1995-12-17', '6075-7114', 'x6yis5', 'naver.com', '무교']: 1.446
=> ['20', '류훈희', '남성', '167.5', '69.4', 'B형', '1955-02-16', '5011-8773', 'dlzkv4', 'naver.com', '무교']: 1.4444

['2', '***', '남성', '170.0~180.0', '60.0~70.0', 'A형', '1946******', '*********', '*************', 'yahoo.com', '불교']
=> ['2', '강훈희', '남성', '174.9', '63.4', 'A형', '1946-10-10', '1715-9263', 'frlfize7ir88', 'yahoo.com', '불교']: 1.2848
=> ['4720', '함남정', '남성', '173.5', '66.3', 'A형', '1947-04-25', '9825-9023', 'ucow55g6qkgk2', 'yahoo.com', '불교']: 1.2831

['3', '***', '여성', '150.0~160.0', '60.0~70.0', 'A형', '1967******', '*********', '*************', 'naver.com', '기독교']
=> ['3', '최종석', '여성', '153.7', '60.0', 'A형', '1967-05-30', '0531-4339', 'uow3y6', 'naver.com', '기독교']: 1.2436
=> ['3429', '김희준', '여성', '154.3', '62.3', 'A형', '1954-08-22', '1814-6429', 'avgybd', 'naver.com', '기독교']: 1.2398
=> ['2606', '정준종', '여성', '151.9', '60.7', 'A형', '1964-09-09', '6609-3572', 'v3fafw', 'naver.com', '기독교']: 1.2417

['4', '***', '여성', '160.0~170.0', '50.0~60.0', 'A형', '1952******', '*********', '*************', 'yahoo.com', '천주교']
=> ['4842', '서희서', '여성', '161.1', '55.2', 'A형', '1985-03-04', '2927-6354', 'v2fxsrw', 'yahoo.com', '천주교']: 1.0982
=> ['4', '최준진', '여성', '161.5', '53.3', 'A형', '1952-05-10', '3171-9306', 'd5gl47akoqk6o', 'yahoo.com', '천주교']: 1.1016
=> ['1296', '석준영', '여성', '154.4', '52.7', 'A형', '1958-01-12', '3273-2739', 'l5qiu0', 'yahoo.com', '천주교']: 1.0734

['5', '***', '남성', '160.0~170.0', '70.0~80.0', 'B형', '1986******', '*********', '*************', 'gmail.com', '무교']
=> ['2405', '박희택', '남성', '169.0', '70.2', 'B형', '1984-03-13', '8317-2480', 'gfykw7450t7', 'gmail.com', '무교']: 1.4112
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 1.4129

['6', '***', '여성', '140.0~150.0', '50.0~60.0', 'A형', '1958******', '*********', '*************', 'gmail.com', '기독교']
=> ['2137', '박준지', '여성', '150.9', '54.8', 'A형', '1956-12-01', '2909-3786', 'a9x2t7q', 'gmail.com', '기독교']: 1.2126
=> ['2580', '정성성', '여성', '156.1', '59.8', 'A형', '1958-08-25', '7100-8495', 'u99wfrh', 'gmail.com', '기독교']: 1.2115
=> ['6', '이협현', '여성', '147.7', '55.0', 'A형', '1958-12-29', '3400-5887', 'pmgi8qzuw7wm7', 'gmail.com', '기독교']: 1.2142

['7', '***', '남성', '170.0~180.0', '60.0~70.0', 'B형', '1966******', '*********', '*************', 'gmail.com', '불교']
=> ['3889', '송우준', '남성', '171.0', '66.1', 'B형', '1986-06-24', '0088-0054', 'mqmt65dfkvv', 'gmail.com', '불교']: 1.2065
=> ['7', '김정덕', '남성', '175.0', '65.8', 'B형', '1966-12-18', '2991-1336', 'pjc9bdg', 'gmail.com', '불교']: 1.2084

['8', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '불교']
=> ['2', '강훈희', '남성', '174.9', '63.4', 'A형', '1946-10-10', '1715-9263', 'frlfize7ir88', 'yahoo.com', '불교']: 0.4996

['9', '***', '남성', '160.0~170.0', '60.0~70.0', 'O형', '1977******', '*********', '*************', 'naver.com', '기독교']
=> ['9', '김남서', '남성', '169.7', '69.8', 'O형', '1977-05-09', '3956-6202', 'ohg5tu7gr7t2', 'naver.com', '기독교']: 1.1984
=> ['73', '손종진', '남성', '170.3', '64.0', 'O형', '1973-07-09', '8667-2933', 'f5jmq0zsc', 'naver.com', '기독교']: 1.1968

['10', '***', '여성', '150.0~160.0', '50.0~60.0', 'B형', '1983******', '*********', '*************', 'gmail.com', '불교']
=> ['10', '이성협', '여성', '151.3', '52.6', 'B형', '1983-09-12', '7592-4501', 'kxjyax1', 'gmail.com', '불교']: 1.2014
=> ['415', '백훈훈', '여성', '153.2', '56.4', 'B형', '1987-09-23', '9808-0822', 'oxq7z526ayarg', 'gmail.com', '불교']: 1.1998

['11', '***', '여성', '150.0~160.0', '60.0~70.0', 'B형', '1962******', '*********', '*************', 'naver.com', '무교']
=> ['11', '차남정', '여성', '159.1', '60.6', 'B형', '1962-07-19', '7146-2918', 'fwb7w4pqyc', 'naver.com', '무교']: 1.4347
