['1', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '무교']
=> ['1', '김종종', '남성', '168.1', '65.4', 'B형', '1995-12-17', '6075-7114', 'x6yis5', 'naver.com', '무교']: 1.2751

['2', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '불교']
=> ['2', '강훈희', '남성', '174.9', '63.4', 'A형', '1946-10-10', '1715-9263', 'frlfize7ir88', 'yahoo.com', '불교']: 1.5004

['3', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '기독교']
=> ['3', '최종석', '여성', '153.7', '60.0', 'A형', '1967-05-30', '0531-4339', 'uow3y6', 'naver.com', '기독교']: 1.5378

['4', '최**', '여성', '160.0~170.0', '50.0~60.0', 'A형', '1952******', '*********', '*************', 'yahoo.com', '천주교']
=> ['4946', '최우용', '여성', '150.9', '54.7', 'A형', '1964-05-30', '5958-2145', 'j4xs7091x', 'yahoo.com', '천주교']: 4.1092
=> ['4', '최준진', '여성', '161.5', '53.3', 'A형', '1952-05-10', '3171-9306', 'd5gl47akoqk6o', 'yahoo.com', '천주교']: 4.3944
=> ['293', '최상희', '여성', '163.9', '54.4', 'AB형', '1982-05-24', '3038-2246', 'uox92o8c', 'yahoo.com', '천주교']: 3.9878
=> ['1296', '석준영', '여성', '154.4', '52.7', 'A형', '1958-01-12', '3273-2739', 'l5qiu0', 'yahoo.com', '천주교']: 3.877

['5', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 1.2769

['6', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '기독교']
=> ['6', '이협현', '여성', '147.7', '55.0', 'A형', '1958-12-29', '3400-5887', 'pmgi8qzuw7wm7', 'gmail.com', '기독교']: 1.5396

['7', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '불교']
=> ['7', '김정덕', '남성', '175.0', '65.8', 'B형', '1966-12-18', '2991-1336', 'pjc9bdg', 'gmail.com', '불교']: 1.5065

['8', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '불교']
=> ['2', '강훈희', '남성', '174.9', '63.4', 'A형', '1946-10-10', '1715-9263', 'frlfize7ir88', 'yahoo.com', '불교']: 1.5004

['9', '김**', '남성', '160.0~170.0', '60.0~70.0', 'O형', '1977******', '*********', '*************', 'naver.com', '기독교']
=> ['9', '김남서', '남성', '169.7', '69.8', 'O형', '1977-05-09', '3956-6202', 'ohg5tu7gr7t2', 'naver.com', '기독교']: 4.2594
=> ['2530', '김지은', '남성', '169.3', '64.1', 'O형', '1961-07-10', '6715-0611', 'wy57bx', 'naver.com', '기독교']: 4.0598
=> ['6971', '김용훈', '남성', '170.0', '71.9', 'O형', '1977-12-22', '2606-5096', 'san1nerdsu', 'naver.com', '기독교']: 4.1764
=> ['1323', '김은준', '남성', '178.7', '70.0', 'O형', '1976-04-05', '6938-6552', 'a2n3u5', 'naver.com', '기독교']: 4.0735

['10', '이**', '여성', '150.0~160.0', '50.0~60.0', 'B형', '1983******', '*********', '*************', 'gmail.com', '불교']
=> ['10', '이성협', '여성', '151.3', '52.6', 'B형', '1983-09-12', '7592-4501', 'kxjyax1', 'gmail.com', '불교']: 4.2369
=> ['13', '이준종', '여성', '154.1', '57.3', 'B형', '1955-06-12', '9901-4667', 'j1wfxe', 'gmail.com', '불교']: 4.0375

['11', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '무교']
=> ['1', '김종종', '남성', '168.1', '65.4', 'B형', '1995-12-17', '6075-7114', 'x6yis5', 'naver.com', '무교']: 1.2751

['12', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '불교']
=> ['12', '김덕협', '여성', '151.5', '66.0', 'B형', '1978-06-16', '6665-6767', 'c561ct', 'daum.net', '불교']: 1.5092

['13', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '불교']
=> ['7', '김정덕', '남성', '175.0', '65.8', 'B형', '1966-12-18', '2991-1336', 'pjc9bdg', 'gmail.com', '불교']: 1.5065

['14', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '무교']
=> ['14', '박훈훈', '남성', '175.3', '64.1', 'AB형', '1979-06-28', '8101-7986', 'gx14kge', 'daum.net', '무교']: 1.2796

['15', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '불교']
=> ['12', '김덕협', '여성', '151.5', '66.0', 'B형', '1978-06-16', '6665-6767', 'c561ct', 'daum.net', '불교']: 1.5092

['16', '김**', '여성', '150.0~160.0', '50.0~60.0', 'B형', '1984******', '*********', '*************', 'yahoo.com', '무교']
=> ['55', '김희영', '여성', '157.8', '54.0', 'B형', '1985-12-14', '9452-6228', 'rt6wxxs3', 'yahoo.com', '무교']: 3.8834
=> ['16', '김덕종', '여성', '155.5', '57.7', 'B형', '1984-03-23', '0573-9019', 'j9aoxo5cf5ke', 'yahoo.com', '무교']: 3.9828

['17', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '무교']
=> ['1', '김종종', '남성', '168.1', '65.4', 'B형', '1995-12-17', '6075-7114', 'x6yis5', 'naver.com', '무교']: 1.2751

['18', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '기독교']
=> ['18', '채준현', '여성', '159.8', '59.7', 'O형', '1959-05-27', '2509-2076', 'uiinz9ytw4', 'daum.net', '기독교']: 1.5423

['19', '이**', '여성', '150.0~160.0', '50.0~60.0', 'B형', '1949******', '*********', '*************', 'gmail.com', '불교']
=> ['3666', '이정우', '여성', '159.6', '64.0', 'B형', '1979-07-29', '9485-4971', 'hnkdqax4qy7s', 'gmail.com', '불교']: 4.0551
=> ['19', '이서영', '여성', '152.0', '51.2', 'B형', '1949-09-24', '3841-8713', 'wb67him', 'gmail.com', '불교']: 4.2366
=> ['10', '이성협', '여성', '151.3', '52.6', 'B형', '1983-09-12', '7592-4501', 'kxjyax1', 'gmail.com', '불교']: 4.0373
=> ['4744', '이용정', '여성', '158.0', '52.7', 'B형', '1947-06-22', '3610-1691', 'pvloi7o', 'gmail.com', '불교']: 4.1369

['20', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '무교']
=> ['1', '김종종', '남성', '168.1', '65.4', 'B형', '1995-12-17', '6075-7114', 'x6yis5', 'naver.com', '무교']: 1.2751

['21', '이**', '여성', '150.0~160.0', '50.0~60.0', 'B형', '1984******', '*********', '*************', 'naver.com', '무교']
=> ['2777', '이지희', '여성', '150.3', '52.6', 'B형', '1981-10-22', '5210-6446', 'xk4gew9ttpp', 'naver.com', '무교']: 3.9049
=> ['21', '이희정', '여성', '151.4', '52.4', 'B형', '1984-09-19', '5712-5285', 'ybs75m2', 'naver.com', '무교']: 4.0043

['22', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '불교']
=> ['22', '김남준', '여성', '166.6', '57.1', 'B형', '1987-07-26', '2581-2587', 'i6psi3ep1lh', 'naver.com', '불교']: 1.5047

['23', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '불교']
=> ['22', '김남준', '여성', '166.6', '57.1', 'B형', '1987-07-26', '2581-2587', 'i6psi3ep1lh', 'naver.com', '불교']: 1.5047

['24', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '무교']
=> ['16', '김덕종', '여성', '155.5', '57.7', 'B형', '1984-03-23', '0573-9019', 'j9aoxo5cf5ke', 'yahoo.com', '무교']: 1.2708

['25', '김**', '여성', '150.0~160.0', '50.0~60.0', 'B형', '1960******', '*********', '*************', 'gmail.com', '무교']
=> ['25', '김정준', '여성', '151.0', '52.1', 'B형', '1960-09-01', '5607-1137', 'cmuitj', 'gmail.com', '무교']: 3.9897
=> ['214', '김진용', '여성', '159.0', '52.7', 'B형', '1965-06-09', '7992-6231', 'b35v7x59', 'gmail.com', '무교']: 3.8901

['26', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '무교']
=> ['1', '김종종', '남성', '168.1', '65.4', 'B형', '1995-12-17', '6075-7114', 'x6yis5', 'naver.com', '무교']: 1.2751

['27', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '기독교']
=> ['18', '채준현', '여성', '159.8', '59.7', 'O형', '1959-05-27', '2509-2076', 'uiinz9ytw4', 'daum.net', '기독교']: 1.5423

['28', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '불교']
=> ['7', '김정덕', '남성', '175.0', '65.8', 'B형', '1966-12-18', '2991-1336', 'pjc9bdg', 'gmail.com', '불교']: 1.5065

['29', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '기독교']
=> ['6', '이협현', '여성', '147.7', '55.0', 'A형', '1958-12-29', '3400-5887', 'pmgi8qzuw7wm7', 'gmail.com', '기독교']: 1.5396

['30', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '천주교']
=> ['30', '안준용', '여성', '155.5', '53.3', 'B형', '1960-03-17', '5836-7474', 'zuabo7c7', 'gmail.com', '천주교']: 1.6822

['31', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '기독교']
=> ['18', '채준현', '여성', '159.8', '59.7', 'O형', '1959-05-27', '2509-2076', 'uiinz9ytw4', 'daum.net', '기독교']: 1.5423

['32', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '천주교']
=> ['30', '안준용', '여성', '155.5', '53.3', 'B형', '1960-03-17', '5836-7474', 'zuabo7c7', 'gmail.com', '천주교']: 1.6822

['33', '김**', '여성', '160.0~170.0', '50.0~60.0', 'AB형', '1989******', '*********', '*************', 'daum.net', '기독교']
=> ['33', '김영석', '여성', '163.2', '58.3', 'AB형', '1989-02-03', '0444-4687', 'amrcgywdei', 'daum.net', '기독교']: 4.3001
=> ['1637', '김지훈', '여성', '148.3', '52.3', 'AB형', '1952-07-29', '3225-1500', 'z24fbjnai5', 'daum.net', '기독교']: 4.0146
=> ['6860', '김진덕', '여성', '149.6', '60.8', 'AB형', '1980-11-25', '3351-7866', 'dz9bpq9v', 'daum.net', '기독교']: 4.1143
=> ['6645', '김석협', '여성', '161.7', '58.0', 'AB형', '1972-11-20', '8233-5786', 'ddrkhq82', 'daum.net', '기독교']: 4.1008

['34', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '불교']
=> ['2', '강훈희', '남성', '174.9', '63.4', 'A형', '1946-10-10', '1715-9263', 'frlfize7ir88', 'yahoo.com', '불교']: 1.5004

['35', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '무교']
=> ['16', '김덕종', '여성', '155.5', '57.7', 'B형', '1984-03-23', '0573-9019', 'j9aoxo5cf5ke', 'yahoo.com', '무교']: 1.2708

['36', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '무교']
=> ['1', '김종종', '남성', '168.1', '65.4', 'B형', '1995-12-17', '6075-7114', 'x6yis5', 'naver.com', '무교']: 1.2751

['37', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 1.2769

['38', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '천주교']
=> ['4', '최준진', '여성', '161.5', '53.3', 'A형', '1952-05-10', '3171-9306', 'd5gl47akoqk6o', 'yahoo.com', '천주교']: 1.6761

['39', '김**', '남성', '160.0~170.0', '60.0~70.0', 'B형', '1975******', '*********', '*************', 'yahoo.com', '무교']
=> ['620', '김남택', '남성', '166.7', '62.0', 'B형', '1974-02-26', '9807-6707', 'yk74fsm', 'yahoo.com', '무교']: 3.9008
=> ['7300', '김석용', '남성', '167.8', '72.5', 'B형', '1975-09-26', '2700-8429', 'rjj4kqig', 'yahoo.com', '무교']: 3.9173
=> ['1598', '김택현', '남성', '177.3', '69.7', 'B형', '1975-05-09', '8896-2678', 't3l7yj8r7', 'yahoo.com', '무교']: 3.9142
=> ['39', '김영종', '남성', '160.0', '64.1', 'B형', '1975-05-22', '3771-3417', 'jjd674', 'yahoo.com', '무교']: 4.0003

['40', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '천주교']
=> ['40', '채용덕', '여성', '159.5', '53.1', 'A형', '1995-09-07', '7281-0768', 'qlsrpc', 'daum.net', '천주교']: 1.6849

['41', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '무교']
=> ['14', '박훈훈', '남성', '175.3', '64.1', 'AB형', '1979-06-28', '8101-7986', 'gx14kge', 'daum.net', '무교']: 1.2796

['42', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '무교']
=> ['16', '김덕종', '여성', '155.5', '57.7', 'B형', '1984-03-23', '0573-9019', 'j9aoxo5cf5ke', 'yahoo.com', '무교']: 1.2708

['43', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '무교']
=> ['1', '김종종', '남성', '168.1', '65.4', 'B형', '1995-12-17', '6075-7114', 'x6yis5', 'naver.com', '무교']: 1.2751

['44', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 1.2769

