['6890', '이**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'A형', '1946****', '*************', '*************', 'gmail.com', '무교', '그리스도대학교', '법학', '3.27']
=> ['23758', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'A형', '1951****', '*************', '*************', 'gmail.com', '무교', '외환은행', '336-967274-575', '9']: 9.4167
=> ['24323', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'O형', '1955****', '*************', '*************', 'gmail.com', '천주교', '한국씨티은행', '067-011583-514', '8']: 9.4167
=> ['84606', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'AB형', '1955****', '*************', '*************', 'gmail.com', '무교', '새마을금고', '3-64650633897-9', '1']: 9.4167
=> ['26982', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'B형', '1983****', '*************', '*************', 'daum.net', '기독교', '우리은행', '7417-799-949944', '6']: 9.4167

['9127', '이**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'O형', '1946****', '*************', '*************', 'gmail.com', '불교', '서울여자대학교', '예체능', '0.97']
=> ['39819', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'O형', '1983****', '*************', '*************', 'gmail.com', '불교', '수협중앙회', '8782-0299-0437', '9']: 9.75

['25771', '이**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'B형', '1946****', '*************', '*************', 'gmail.com', '기독교', '상명대학교', '자연', '2.75']
=> ['1055', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'B형', '1965****', '*************', '*************', 'gmail.com', '기독교', '신한은행', '545-582-455739', '6']: 9.75

['15575', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'B형', '1957****', '*************', '*************', 'naver.com', '기독교', '한성대학교', '인문', '0.64']
=> ['9284', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'A형', '1976****', '*************', '*************', 'naver.com', '기독교', '우리은행', '3272-077-386655', '7']: 9.25

['80312', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'B형', '1957****', '*************', '*************', 'naver.com', '불교', '이화여자대학', '공학', '2.26']
=> ['78217', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'B형', '1961****', '*************', '*************', 'naver.com', '불교', '수협중앙회', '5930-0967-8908', '5']: 9.75

['98939', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'A형', '1957****', '*************', '*************', 'gmail.com', '기독교', '광운대학교', '교육', '2.66']
=> ['23758', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'A형', '1951****', '*************', '*************', 'gmail.com', '무교', '외환은행', '336-967274-575', '9']: 9.2083

['2533', '이**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'B형', '1957****', '*************', '*************', 'gmail.com', '천주교', '덕성자대학교', '예체능', '0.87']
=> ['5216', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'B형', '1982****', '*************', '*************', 'gmail.com', '천주교', '수협중앙회', '2696-2785-3511', '4']: 9.4167

['10858', '이**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'AB형', '1957****', '*************', '*************', 'daum.net', '무교', '상명대학교', '예체능', '1.2']
=> ['2468', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'A형', '1996****', '*************', '*************', 'naver.com', '무교', '스탠다드(제일)', '183-44-697394', '2']: 9.4167
=> ['6520', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'B형', '1965****', '*************', '*************', 'daum.net', '무교', '스탠다드(제일)', '103-92-400822', '6']: 9.4167

['14772', '이**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'A형', '1957****', '*************', '*************', 'naver.com', '무교', '이화여자대학', '인문', '2.09']
=> ['2468', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'A형', '1996****', '*************', '*************', 'naver.com', '무교', '스탠다드(제일)', '183-44-697394', '2']: 9.75

['31266', '이**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'A형', '1957****', '*************', '*************', 'gmail.com', '무교', '덕성자대학교', '의학', '1.5']
