CORRECT LIST
['7246', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'yahoo.com', '기독교', '성공회대학교', '교육', '0.09']
['52198', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'naver.com', '무교', '숙명여자대학교', '사회', '0.86']
['98711', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1947****', '*************', '*************', 'daum.net', '무교', '한영신학대학교', '공학', '0.85']
['17134', '이**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'gmail.com', '무교', '숭실대학교', '의학', '2.3']
['50815', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1948****', '*************', '*************', 'yahoo.com', '무교', '이화여자대학', '자연', '0.14']
['71855', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1948****', '*************', '*************', 'yahoo.com', '불교', '숙명여자대학교', '사회', '2.65']
['80568', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1948****', '*************', '*************', 'gmail.com', '불교', '경기대학교', '교육', '3.97']
['22135', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1949****', '*************', '*************', 'naver.com', '기독교', '장로회신학대학교', '공학', '4.18']
['28437', '박**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1949****', '*************', '*************', 'yahoo.com', '천주교', '광운대학교', '공학', '0.8']
['39363', '박**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1949****', '*************', '*************', 'naver.com', '기독교', '총신대학교', '법학', '4.26']
['52353', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1949****', '*************', '*************', 'gmail.com', '불교', '한양대학교', '사회', '2.44']
['38720', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1949****', '*************', '*************', 'yahoo.com', '무교', '중앙대학교', '공학', '0.83']
['91830', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1950****', '*************', '*************', 'yahoo.com', '불교', '덕성자대학교', '법학', '2.8']
['11815', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1950****', '*************', '*************', 'yahoo.com', '무교', '중앙대학교', '공학', '2.47']
['60006', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1950****', '*************', '*************', 'gmail.com', '무교', '한국외국어대학교', '의학', '1.5']
['97902', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1950****', '*************', '*************', 'naver.com', '무교', '성균관대학교', '예체능', '2.16']
['6016', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1950****', '*************', '*************', 'daum.net', '무교', '숙명여자대학교', '법학', '1.63']
['18026', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1951****', '*************', '*************', 'gmail.com', '기독교', '성신여자대학교', '인문', '2.83']
['5679', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1951****', '*************', '*************', 'gmail.com', '불교', '성공회대학교', '법학', '2.51']
['29551', '김**', '여성', '[140.6, 150.0[', '[50.0, 60.0[', 'O형', '1952****', '*************', '*************', 'daum.net', '무교', '광운대학교', '예체능', '1.8']
['3154', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1952****', '*************', '*************', 'daum.net', '무교', '추계예술대학교', '공학', '2.33']
['22995', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1952****', '*************', '*************', 'gmail.com', '천주교', '삼육대학교', '자연', '4.39']
['11739', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1952****', '*************', '*************', 'daum.net', '기독교', '한국성서대학교', '자연', '1.64']
['55291', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1952****', '*************', '*************', 'gmail.com', '기독교', '감리교신학대학교', '인문', '4.35']
['10247', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1953****', '*************', '*************', 'daum.net', '무교', '한국방송통신대학교', '교육', '2.17']
['81051', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1953****', '*************', '*************', 'daum.net', '무교', '한영신학대학교', '사회', '4.06']
['11630', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1953****', '*************', '*************', 'gmail.com', '무교', '서경대학교', '사회', '3.97']
['21109', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1953****', '*************', '*************', 'gmail.com', '기독교', '국민대학교', '사회', '0.37']
['19929', '박**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1954****', '*************', '*************', 'daum.net', '무교', '한국외국어대학교', '법학', '3.49']
['78848', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1955****', '*************', '*************', 'daum.net', '기독교', '삼육대학교', '법학', '2.73']
['33929', '한**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1955****', '*************', '*************', 'daum.net', '무교', '연세대학교', '인문', '3.3']
