['6863', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'A형', '1947****', '*************', '*************', 'yahoo.com', '불교', '새마을금고', '1-84278061978-1', '6']
=> ['25000', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'A형', '1954****', '*************', '*************', 'yahoo.com', '불교', '그리스도대학교', '사회', '2.54']: 9.75

['8420', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'O형', '1947****', '*************', '*************', 'gmail.com', '무교', '기업은행', '455-162016-22-065', '8']
=> ['8328', '이**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'O형', '1972****', '*************', '*************', 'gmail.com', '무교', '육군사관학교', '공학', '3.23']: 9.4167

['38818', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'B형', '1947****', '*************', '*************', 'gmail.com', '무교', '수협중앙회', '1327-7817-0630', '9']
=> ['19931', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'B형', '1985****', '*************', '*************', 'gmail.com', '무교', '건국대학교', '예체능', '2.25']: 9.75

['10331', '이**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'B형', '1947****', '*************', '*************', 'naver.com', '기독교', '수협중앙회', '4488-0785-4848', '8']
=> ['13304', '이**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'B형', '1952****', '*************', '*************', 'gmail.com', '기독교', '건국대학교', '교육', '0.54']: 9.1944

['36867', '이**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'B형', '1947****', '*************', '*************', 'gmail.com', '무교', '하나은행', '173-296032-07174', '1']
=> ['22662', '장**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'B형', '1969****', '*************', '*************', 'gmail.com', '무교', '서경대학교', '법학', '2.01']: 9.4167
=> ['18421', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'O형', '1985****', '*************', '*************', 'naver.com', '천주교', '국민대학교', '사회', '1.66']: 9.4167

['38648', '이**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'A형', '1947****', '*************', '*************', 'gmail.com', '무교', '우리은행', '2638-606-122066', '9']
=> ['14018', '이**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'A형', '1950****', '*************', '*************', 'gmail.com', '무교', '한국방송통신대학교', '공학', '3.29']: 9.75

['11985', '조**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'O형', '1948****', '*************', '*************', 'gmail.com', '불교', '스탠다드(제일)', '210-18-557874', '2']
=> ['3658', '조**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1988****', '*************', '*************', 'gmail.com', '불교', '서경대학교', '의학', '1.53']: 8.9659

['30941', '조**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'A형', '1948****', '*************', '*************', 'naver.com', '기독교', '국민은행', '199203-42-809290', '5']
=> ['28005', '박**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'A형', '1956****', '*************', '*************', 'yahoo.com', '기독교', '경기대학교', '예체능', '1.98']: 8.9722

['36449', '조**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'B형', '1948****', '*************', '*************', 'naver.com', '천주교', 'NH농협', '178-2674-638-04', '1']
=> ['18421', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'O형', '1985****', '*************', '*************', 'naver.com', '천주교', '국민대학교', '사회', '1.66']: 8.9167

['2665', '이**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'B형', '1950****', '*************', '*************', 'daum.net', '기독교', '새마을금고', '4-14384616703-3', '3']
