CORRECT LIST
['11982', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'O형', '1954****', '*************', '*************', 'naver.com', '불교', '147.220.161.249', '39:ac:a2:c4:c8:72']
['14884', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'B형', '1954****', '*************', '*************', 'gmail.com', '불교', '113.102.207.22', 'd1:f2:d4:de:a5:5c']
['19526', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'AB형', '1959****', '*************', '*************', 'naver.com', '무교', '10.138.214.209', '0c:e7:60:c9:2d:52']
['29399', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'A형', '1959****', '*************', '*************', 'yahoo.com', '무교', '138.197.191.5', '23:6d:66:a1:19:f3']
['19359', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'A형', '1960****', '*************', '*************', 'yahoo.com', '무교', '194.242.191.48', '92:3c:8d:94:1d:a9']
['32325', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'AB형', '1960****', '*************', '*************', 'gmail.com', '기독교', '62.42.102.211', '85:d8:f4:70:fc:23']
['18421', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'O형', '1985****', '*************', '*************', 'naver.com', '천주교', '67.55.169.92', '10:dc:e0:df:15:33']
['19931', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'B형', '1985****', '*************', '*************', 'gmail.com', '무교', '240.79.246.118', '2e:37:14:0c:14:88']
['3517', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1946****', '*************', '*************', 'yahoo.com', '무교', '124.84.76.196', 'a1:db:9d:f2:9e:3b']
['35696', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1946****', '*************', '*************', 'daum.net', '무교', '242.173.200.100', 'c2:25:32:bf:a4:b1']
['6697', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1946****', '*************', '*************', 'yahoo.com', '무교', '121.9.223.205', '97:eb:aa:dd:b1:57']
['11494', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1946****', '*************', '*************', 'naver.com', '천주교', '147.84.222.219', 'cc:c8:1d:13:2d:09']
