CORRECT LIST
['12982', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'B형', '1951****', '*************', '*************', 'daum.net', '무교', '164.222.180.218', '0a:ec:65:a7:b7:95']
['28302', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'A형', '1951****', '*************', '*************', 'naver.com', '무교', '110.170.153.232', 'f1:ae:53:4d:36:17']
['8705', '김**', '여성', '[160.0, 170.0[', '[40.0, 50.0[', 'O형', '1957****', '*************', '*************', 'daum.net', '불교', '67.27.249.88', '88:93:bd:37:b6:e0']
['11338', '김**', '여성', '[160.0, 170.0[', '[40.0, 50.0[', 'A형', '1957****', '*************', '*************', 'yahoo.com', '불교', '212.79.66.164', '26:a9:f7:72:21:a1']
['1961', '이**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'O형', '1965****', '*************', '*************', 'daum.net', '불교', '233.57.53.246', 'ba:c3:fa:70:64:c4']
['2985', '이**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'A형', '1965****', '*************', '*************', 'gmail.com', '무교', '245.6.95.26', '81:3d:dd:02:df:30']
['20409', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'B형', '1978****', '*************', '*************', 'daum.net', '기독교', '246.65.46.1', '69:0d:3f:fa:7f:f9']
['10855', '이**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'A형', '1985****', '*************', '*************', 'gmail.com', '불교', '233.165.40.71', '3d:80:75:f9:50:6d']
['29352', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1946****', '*************', '*************', 'daum.net', '기독교', '43.57.190.210', 'b7:d9:da:08:4f:bb']
['28627', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1946****', '*************', '*************', 'naver.com', '무교', '228.145.31.117', '5c:1f:2b:09:08:62']
['39360', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1946****', '*************', '*************', 'naver.com', '불교', '224.204.244.177', '65:9f:22:24:ee:f6']
['7404', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1947****', '*************', '*************', 'naver.com', '불교', '223.154.128.116', '7a:e2:44:4a:c0:7e']
['20600', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'daum.net', '불교', '82.113.35.88', 'f3:71:3c:ec:04:ae']
['22901', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1947****', '*************', '*************', 'gmail.com', '불교', '241.96.131.189', 'de:32:9c:a2:84:26']
['38597', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'naver.com', '무교', '217.67.119.61', '69:62:18:c5:b5:1a']
['12737', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'gmail.com', '무교', '195.21.181.192', '4f:8d:e6:0d:07:96']
['39530', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'naver.com', '기독교', '38.182.131.243', '3f:47:78:ae:47:1b']
['5804', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1947****', '*************', '*************', 'naver.com', '불교', '153.191.115.72', '2f:f7:a2:9a:18:ee']
['16804', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1947****', '*************', '*************', 'naver.com', '무교', '132.199.98.231', '0d:39:e4:f6:ba:6e']
['19389', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1947****', '*************', '*************', 'naver.com', '기독교', '188.33.53.230', '83:a2:d8:28:45:be']
['28198', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'yahoo.com', '불교', '4.124.5.35', '5b:2c:3e:5c:cc:ed']
