CORRECT LIST
['12982', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'B형', '1951****', '*************', '*************', 'daum.net', '무교', '164.222.180.218', '0a:ec:65:a7:b7:95']
['35401', '이**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'B형', '1953****', '*************', '*************', 'naver.com', '기독교', '85.227.53.149', '06:f1:b3:df:01:6d']
['14884', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'B형', '1954****', '*************', '*************', 'gmail.com', '불교', '113.102.207.22', 'd1:f2:d4:de:a5:5c']
['19359', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'A형', '1960****', '*************', '*************', 'yahoo.com', '무교', '194.242.191.48', '92:3c:8d:94:1d:a9']
['32325', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'AB형', '1960****', '*************', '*************', 'gmail.com', '기독교', '62.42.102.211', '85:d8:f4:70:fc:23']
['20409', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'B형', '1978****', '*************', '*************', 'daum.net', '기독교', '246.65.46.1', '69:0d:3f:fa:7f:f9']
['18421', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'O형', '1985****', '*************', '*************', 'naver.com', '천주교', '67.55.169.92', '10:dc:e0:df:15:33']
['2205', '이**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'O형', '1985****', '*************', '*************', 'naver.com', '불교', '254.8.213.172', '61:5d:42:43:29:e5']
['10855', '이**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'A형', '1985****', '*************', '*************', 'gmail.com', '불교', '233.165.40.71', '3d:80:75:f9:50:6d']
['1550', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1946****', '*************', '*************', 'gmail.com', '기독교', '151.87.191.69', '73:fa:de:4d:30:42']
['2873', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1946****', '*************', '*************', 'naver.com', '무교', '53.109.11.232', 'c5:70:84:34:93:cb']
['17735', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1946****', '*************', '*************', 'naver.com', '불교', '183.84.115.229', '75:18:58:fe:cc:6f']
